Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434B0W
A0A455V6M9	A0A455V6M9_9GAMM	unreviewed	aroA cmk HAALTHF_39130n	Halomonas axialensis	Multifunctional fusion protein [Includes: 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	841	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]; prephenate dehydrogenase (NAD+) activity [GO:0008977]; prephenate dehydrogenase (NADP+) activity [GO:0004665]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; pyrimidine nucleotide metabolic process [GO:0006220]; tyrosine biosynthetic process [GO:0006571]	GO:0003866; GO:0004665; GO:0005524; GO:0005737; GO:0006220; GO:0006571; GO:0008652; GO:0008977; GO:0009423; GO:0036430; GO:0036431	BBI74522.2
A0A3M6UK32	A0A3M6UK32_POCDA	unreviewed	pdam_00013673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	404	cytosol [GO:0005829]; plasma membrane [GO:0005886]	GO:0005829; GO:0005886	RMX54020.1
A0A3M6TKJ6	A0A3M6TKJ6_POCDA	unreviewed	pdam_00006673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	398	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX41889.1
A0A3M6UKQ8	A0A3M6UKQ8_POCDA	unreviewed	pdam_00023254	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	264			RMX54260.1
A0A3M6TRG1	A0A3M6TRG1_POCDA	unreviewed	pdam_00024909	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1205	transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0007165; GO:0016757	RMX43858.1
A0A3M6TPD4	A0A3M6TPD4_POCDA	unreviewed	pdam_00018563	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	399	signal transduction [GO:0007165]	GO:0007165	RMX43262.1
A0A5N6E3H0	A0A5N6E3H0_ASPPA	unreviewed	BDV34DRAFT_219325	Aspergillus parasiticus	Ankyrin repeat-containing domain protein	1709	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	KAB8212112.1
A0A3M6U1T2	A0A3M6U1T2_POCDA	unreviewed	pdam_00018995	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	646	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197	RMX47581.1
A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16501.1
A0A3M6UM37	A0A3M6UM37_POCDA	unreviewed	pdam_00023673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	289			RMX54594.1
A0A3M6TA22	A0A3M6TA22_POCDA	unreviewed	pdam_00003334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	274			RMX38193.1
A0A2B4SPZ2	A0A2B4SPZ2_STYPI	unreviewed	Hsd3b2 AWC38_SpisGene3715	Stylophora pistillata (Smooth cauliflower coral)	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	970	integral component of membrane [GO:0016021]; 3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; isomerase activity [GO:0016853]; steroid biosynthetic process [GO:0006694]	GO:0003854; GO:0006694; GO:0016021; GO:0016853	PFX31436.1
A0A2B4R9S1	A0A2B4R9S1_STYPI	unreviewed	AWC38_SpisGene21467	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	736	integral component of membrane [GO:0016021]	GO:0016021	PFX14381.1
A0A1X7AG30	A0A1X7AG30_9GAMM	unreviewed	abgT_1 EHSB41UT_00087	Parendozoicomonas haliclonae	p-aminobenzoyl-glutamate transport protein	524	integral component of membrane [GO:0016021]; secondary active p-aminobenzoyl-glutamate transmembrane transporter activity [GO:0015558]; p-aminobenzoyl-glutamate transmembrane transport [GO:1902604]	GO:0015558; GO:0016021; GO:1902604	SMA31980.1
A0A3M6UHP7	A0A3M6UHP7_POCDA	unreviewed	pdam_00014603	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	450	integral component of membrane [GO:0016021]; cysteine-type endopeptidase activity [GO:0004197]	GO:0004197; GO:0016021	RMX53054.1
A0A2B4RNQ3	A0A2B4RNQ3_STYPI	unreviewed	AWC38_SpisGene17194	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	747			PFX18433.1
A0A3M6ULA7	A0A3M6ULA7_POCDA	unreviewed	pdam_00018410	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	265			RMX54359.1
A0A3M6THG1	A0A3M6THG1_POCDA	unreviewed	pdam_00006523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	506	integral component of membrane [GO:0016021]	GO:0016021	RMX40837.1
A0A081KAB9	A0A081KAB9_9GAMM	unreviewed	GV64_10375	Endozoicomonas elysicola	PHB domain-containing protein	369			KEI71095.1
A0A3M6UUX9	A0A3M6UUX9_POCDA	unreviewed	pdam_00020867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	230			RMX57472.1
A0A428NLZ3	A0A428NLZ3_9HYPO	unreviewed	CEP54_015713	Fusarium sp. AF-8	Uncharacterized protein (Fragment)	720	zinc ion binding [GO:0008270]	GO:0008270	RSL41793.1
A0A2B4RAK3	A0A2B4RAK3_STYPI	unreviewed	AWC38_SpisGene22039	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	817	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX13843.1
A0A3M6UAC5	A0A3M6UAC5_POCDA	unreviewed	pdam_00009692	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PGA_cap domain-containing protein	470			RMX50613.1
A0A3M6V470	A0A3M6V470_POCDA	unreviewed	pdam_00025812	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	607			RMX60650.1
A0A2B4SJZ0	A0A2B4SJZ0_STYPI	unreviewed	AWC38_SpisGene6395	Stylophora pistillata (Smooth cauliflower coral)	GIY-YIG domain-containing protein	1309			PFX28898.1
A0A3M6V6G0	A0A3M6V6G0_POCDA	unreviewed	pdam_00013721	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1060	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX61553.1
A0A3M6UZP5	A0A3M6UZP5_POCDA	unreviewed	pdam_00024413	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	223			RMX59156.1
A0A2B4SFP4	A0A2B4SFP4_STYPI	unreviewed	AWC38_SpisGene6590	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	221			PFX28691.1
A0A3M6TAL6	A0A3M6TAL6_POCDA	unreviewed	pdam_00016263	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SWIM-type domain-containing protein	272	zinc ion binding [GO:0008270]	GO:0008270	RMX38435.1
A0A3M6UV37	A0A3M6UV37_POCDA	unreviewed	pdam_00025777	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	174			RMX57178.1
A0A3M6T7X3	A0A3M6T7X3_POCDA	unreviewed	pdam_00025574	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	123			RMX37409.1
A0A2B4SUH9	A0A2B4SUH9_STYPI	unreviewed	SEL1L AWC38_SpisGene2387	Stylophora pistillata (Smooth cauliflower coral)	Protein sel-1-like 1	915	integral component of membrane [GO:0016021]	GO:0016021	PFX32743.1
A0A3M6UKB7	A0A3M6UKB7_POCDA	unreviewed	pdam_00022338	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	398			RMX54009.1
A0A257QC22	A0A257QC22_9GAMM	unreviewed	B7X12_06860	Halothiobacillus sp. 20-53-49	Trk system potassium uptake protein TrkA	925	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; potassium ion transmembrane transporter activity [GO:0015079]	GO:0005886; GO:0015079; GO:0016021	OYV45999.1
A0A3M6UBQ5	A0A3M6UBQ5_POCDA	unreviewed	pdam_00016129	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ABC transporter domain-containing protein	292	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX50888.1
A0A3M6TBI8	A0A3M6TBI8_POCDA	unreviewed	pdam_00018519	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	259			RMX38752.1
R7V2Q3	R7V2Q3_CAPTE	unreviewed	CAPTEDRAFT_110971	Capitella teleta (Polychaete worm)	Copper homeostasis protein cutC homolog	243	copper ion binding [GO:0005507]; copper ion homeostasis [GO:0055070]	GO:0005507; GO:0055070	ELU10606.1
A0A2B4S985	A0A2B4S985_STYPI	unreviewed	RCHY1 AWC38_SpisGene10223	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	1812	zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]	GO:0008270; GO:0042981	PFX25157.1
A0A2B4SXF7	A0A2B4SXF7_STYPI	unreviewed	AWC38_SpisGene1248	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1511	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX33793.1
A0A3M6TCF7	A0A3M6TCF7_POCDA	unreviewed	pdam_00024401	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	143			RMX39117.1
A0A2B4S4Q1	A0A2B4S4Q1_STYPI	unreviewed	MFN2 AWC38_SpisGene11880	Stylophora pistillata (Smooth cauliflower coral)	Mitofusin-2	1074	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mitochondrial fusion [GO:0008053]	GO:0003924; GO:0005525; GO:0005741; GO:0008053; GO:0016021	PFX23577.1
A0A3M6TQA5	A0A3M6TQA5_POCDA	unreviewed	pdam_00001894	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1131	integral component of membrane [GO:0016021]	GO:0016021	RMX43526.1
A0A774KNJ7	A0A774KNJ7_ECOLX	unreviewed	malF HHG54_004660	Escherichia coli	Maltose/maltodextrin transport system permease protein MalF	761	ATP-binding cassette (ABC) transporter complex [GO:0043190]; carbohydrate transport [GO:0008643]; transmembrane transport [GO:0055085]	GO:0008643; GO:0043190; GO:0055085	HAH1052185.1
A0A081KCV0	A0A081KCV0_9GAMM	unreviewed	GV64_15695	Endozoicomonas elysicola	Trk system potassium uptake protein	480	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; potassium:chloride symporter activity [GO:0015379]	GO:0005886; GO:0015379; GO:0016021; GO:0046872	KEI71976.1
A0A3M6UZA0	A0A3M6UZA0_POCDA	unreviewed	pdam_00025881	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	522			RMX58638.1
A0A2B4RG89	A0A2B4RG89_STYPI	unreviewed	GIN1 AWC38_SpisGene18313	Stylophora pistillata (Smooth cauliflower coral)	Gypsy retrotransposon integrase-like protein 1	2185	nucleic acid binding [GO:0003676]; transposase activity [GO:0004803]; DNA integration [GO:0015074]; transposition, DNA-mediated [GO:0006313]	GO:0003676; GO:0004803; GO:0006313; GO:0015074	PFX17374.1
A0A3M6UN86	A0A3M6UN86_POCDA	unreviewed	pdam_00024458	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	507			RMX55100.1
A0A3M6U1R2	A0A3M6U1R2_POCDA	unreviewed	pdam_00015138	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	6-phosphofructo-2-kinase (EC 2.7.1.105) (EC 3.1.3.46) (Fructose-2,6-bisphosphatase)	1223	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]; fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]	GO:0003873; GO:0004331; GO:0005524; GO:0006000; GO:0006003	RMX47623.1
A0A1V6V0C5	A0A1V6V0C5_9EURO	unreviewed	PENCOP_c002G00032	Penicillium coprophilum	ANK_REP_REGION domain-containing protein	1939	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	GO:0016021; GO:0046873	OQE44088.1
A0A3M6T644	A0A3M6T644_POCDA	unreviewed	pdam_00023178	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	318			RMX36744.1
A0A081K801	A0A081K801_9GAMM	unreviewed	grpE GV64_05575	Endozoicomonas elysicola	Protein GrpE (HSP-70 cofactor)	217	cytoplasm [GO:0005737]; adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; protein folding [GO:0006457]	GO:0000774; GO:0005737; GO:0006457; GO:0042803; GO:0051087	KEI70277.1
A0A3M6TAU6	A0A3M6TAU6_POCDA	unreviewed	pdam_00010215	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	569			RMX38546.1
A0A3G4ZMN1	A0A3G4ZMN1_9VIRU	unreviewed	Terrestrivirus2_182	Terrestrivirus sp.	Uncharacterized protein	278			AYV75674.1
A0A2B4SAU8	A0A2B4SAU8_STYPI	unreviewed	AWC38_SpisGene8831	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein y4mH	418	hydrolase activity [GO:0016787]	GO:0016787	PFX26496.1
