Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441EC3
A0A3M6TCS2	A0A3M6TCS2_POCDA	unreviewed	pdam_00022915	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tyrosinase_Cu-bd domain-containing protein (Fragment)	415	oxidoreductase activity [GO:0016491]	GO:0016491	RMX39153.1
A0A3M6TCM9	A0A3M6TCM9_POCDA	unreviewed	pdam_00022913	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	254	translation initiation factor activity [GO:0003743]	GO:0003743	RMX39155.1
A0A3M6UDE9	A0A3M6UDE9_POCDA	unreviewed	pdam_00020348	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	952	integral component of membrane [GO:0016021]	GO:0016021	RMX51448.1
A0A3M6T7J1	A0A3M6T7J1_POCDA	unreviewed	pdam_00025528	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	413			RMX37268.1
A0A2B4RW24	A0A2B4RW24_STYPI	unreviewed	Clpb AWC38_SpisGene12834	Stylophora pistillata (Smooth cauliflower coral)	Caseinolytic peptidase B protein-like	554	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	PFX22654.1
A0A2B4RVQ6	A0A2B4RVQ6_STYPI	unreviewed	CYLD AWC38_SpisGene14277	Stylophora pistillata (Smooth cauliflower coral)	Ubiquitin carboxyl-terminal hydrolase CYLD	1093	microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; hydrolase activity [GO:0016787]	GO:0005815; GO:0016787; GO:0048471	PFX21246.1
A0A3M6UQN6	A0A3M6UQN6_POCDA	unreviewed	pdam_00018732	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Palmitoyltransferase (EC 2.3.1.225)	343	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0016021; GO:0019706	RMX55678.1
A0A3M6ULU5	A0A3M6ULU5_POCDA	unreviewed	pdam_00026029	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DDE_Tnp_1_7 domain-containing protein (Fragment)	342			RMX54625.1
A0A2B4RUZ1	A0A2B4RUZ1_STYPI	unreviewed	pol AWC38_SpisGene15432	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	703	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX20138.1
A0A3M6TWL3	A0A3M6TWL3_POCDA	unreviewed	pdam_00023853	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	260			RMX45678.1
A0A3M6TWB3	A0A3M6TWB3_POCDA	unreviewed	pdam_00023850	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	211			RMX45676.1
A0A2B4RFD7	A0A2B4RFD7_STYPI	unreviewed	AWC38_SpisGene20742	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	628			PFX15057.1
A0A3M6T7X7	A0A3M6T7X7_POCDA	unreviewed	pdam_00012811	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	189	integral component of membrane [GO:0016021]	GO:0016021	RMX37507.1
A0A3M6T7X9	A0A3M6T7X9_POCDA	unreviewed	pdam_00012808	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	735	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	GO:0016831; GO:0019752; GO:0030170	RMX37526.1
A0A3M6V6R6	A0A3M6V6R6_POCDA	unreviewed	pdam_00025801	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	550			RMX61354.1
A0A2B4STW2	A0A2B4STW2_STYPI	unreviewed	TTC28 AWC38_SpisGene899	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1174			PFX34114.1
A0A2B4STX4	A0A2B4STX4_STYPI	unreviewed	AWC38_SpisGene2429	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	401			PFX32796.1
A0A3M6TI01	A0A3M6TI01_POCDA	unreviewed	pdam_00011563	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrase catalytic domain-containing protein	1819	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RMX41025.1
A0A3M6UUB6	A0A3M6UUB6_POCDA	unreviewed	pdam_00025708	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	410			RMX57266.1
A0A3M6T482	A0A3M6T482_POCDA	unreviewed	pdam_00024214	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2095	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX35108.1
A0A3M6V2V6	A0A3M6V2V6_POCDA	unreviewed	pdam_00019429	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	233			RMX60235.1
A0A3M6TGZ4	A0A3M6TGZ4_POCDA	unreviewed	pdam_00020717	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	207	nucleic acid binding [GO:0003676]	GO:0003676	RMX40682.1
A0A3M6TH14	A0A3M6TH14_POCDA	unreviewed	pdam_00020719	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	451			RMX40686.1
A0A2B4RQL6	A0A2B4RQL6_STYPI	unreviewed	SDK2 AWC38_SpisGene16997	Stylophora pistillata (Smooth cauliflower coral)	Protein sidekick-2	2249	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; protein dimerization activity [GO:0046983]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074; GO:0046983	PFX18608.1
A0A3M6UUM2	A0A3M6UUM2_POCDA	unreviewed	pdam_00025687	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	329			RMX57264.1
A0A3M6UJP4	A0A3M6UJP4_POCDA	unreviewed	pdam_00022359	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	403			RMX53890.1
A0A2B4SK51	A0A2B4SK51_STYPI	unreviewed	AWC38_SpisGene5998	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	779			PFX29250.1
A0A2B4S1R4	A0A2B4S1R4_STYPI	unreviewed	ABCC4 AWC38_SpisGene12463	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	829	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22993.1
A0A3M6U0F1	A0A3M6U0F1_POCDA	unreviewed	pdam_00016215	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	979			RMX47140.1
A0A2B4SWG7	A0A2B4SWG7_STYPI	unreviewed	Ret AWC38_SpisGene891	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1741	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX34241.1
A0A3M6V297	A0A3M6V297_POCDA	unreviewed	pdam_00001066	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PfkB domain-containing protein	308	ketohexokinase activity [GO:0004454]; fructose metabolic process [GO:0006000]	GO:0004454; GO:0006000	RMX59904.1
A0A3M6UKQ9	A0A3M6UKQ9_POCDA	unreviewed	pdam_00023253	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	119			RMX54263.1
A0A3M6USZ0	A0A3M6USZ0_POCDA	unreviewed	pdam_00024554	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DDE-1 domain-containing protein (Fragment)	379	nucleic acid binding [GO:0003676]	GO:0003676	RMX56687.1
A0A3M6UFV3	A0A3M6UFV3_POCDA	unreviewed	pdam_00019783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	E3 ubiquitin-protein ligase (EC 2.3.2.26)	860	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0061630	RMX52560.1
A0A2B4R9K7	A0A2B4R9K7_STYPI	unreviewed	AWC38_SpisGene22997	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	682	integral component of membrane [GO:0016021]	GO:0016021	PFX12965.1
A0A3M6UEA9	A0A3M6UEA9_POCDA	unreviewed	pdam_00003731	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	498			RMX52001.1
A0A2B4SKY1	A0A2B4SKY1_STYPI	unreviewed	Lima1 AWC38_SpisGene5238	Stylophora pistillata (Smooth cauliflower coral)	LIM domain and actin-binding protein 1	1213	metal ion binding [GO:0046872]	GO:0046872	PFX30026.1
A0A2B4RBC6	A0A2B4RBC6_STYPI	unreviewed	AWC38_SpisGene20113	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	613	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX15654.1
A0A3M6V546	A0A3M6V546_POCDA	unreviewed	pdam_00007575	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2702	membrane [GO:0016020]	GO:0016020	RMX61021.1
A0A3M6TEA8	A0A3M6TEA8_POCDA	unreviewed	pdam_00008083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	245			RMX39703.1
A0A2B4R6G4	A0A2B4R6G4_STYPI	unreviewed	AWC38_SpisGene24016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	735	integral component of membrane [GO:0016021]	GO:0016021	PFX12080.1
A0A2B4R9H2	A0A2B4R9H2_STYPI	unreviewed	AWC38_SpisGene22789	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	384	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	PFX13150.1
A0A3M6U6M2	A0A3M6U6M2_POCDA	unreviewed	pdam_00013580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MI domain-containing protein	1421	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]	GO:0003729; GO:0003743	RMX49267.1
A0A3M6V106	A0A3M6V106_POCDA	unreviewed	pdam_00020263	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2244	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX59605.1
A0A3M6TVI6	A0A3M6TVI6_POCDA	unreviewed	pdam_00015713	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Superoxide dismutase (EC 1.15.1.1) (Fragment)	243	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	GO:0004784; GO:0046872	RMX45412.1
A0A2B4RFM4	A0A2B4RFM4_STYPI	unreviewed	AWC38_SpisGene20168	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	659			PFX15599.1
A0A3M6U2D6	A0A3M6U2D6_POCDA	unreviewed	pdam_00021060	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	270			RMX47855.1
A0A3M6V4B7	A0A3M6V4B7_POCDA	unreviewed	pdam_00022516	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	350			RMX60792.1
A0A2B4SQA5	A0A2B4SQA5_STYPI	unreviewed	ddx24 AWC38_SpisGene3901	Stylophora pistillata (Smooth cauliflower coral)	RNA helicase (EC 3.6.4.13)	1037	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787	PFX31289.1
A0A2B4R9U5	A0A2B4R9U5_STYPI	unreviewed	HMCN1 AWC38_SpisGene22660	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1298	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004714; GO:0005524; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX13270.1
A0A3M6U1N7	A0A3M6U1N7_POCDA	unreviewed	pdam_00019085	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	481	signal transduction [GO:0007165]	GO:0007165	RMX47542.1
A0A2B4RND3	A0A2B4RND3_STYPI	unreviewed	Rchy1 AWC38_SpisGene17625	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	2962	zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0008270; GO:0015074	PFX18030.1
A0A3M6TIF2	A0A3M6TIF2_POCDA	unreviewed	pdam_00003310	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	196	integral component of membrane [GO:0016021]	GO:0016021	RMX41111.1
A0A3M6T838	A0A3M6T838_POCDA	unreviewed	pdam_00016623	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	262			RMX37560.1
A0A3M6TL77	A0A3M6TL77_POCDA	unreviewed	pdam_00001184	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	429	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; signaling receptor activity [GO:0038023]	GO:0005789; GO:0005886; GO:0016021; GO:0038023	RMX42041.1
A0A2B4RK52	A0A2B4RK52_STYPI	unreviewed	C1qb AWC38_SpisGene18113	Stylophora pistillata (Smooth cauliflower coral)	Complement C1q subcomponent subunit B	324	integral component of membrane [GO:0016021]	GO:0016021	PFX17556.1
A0A2B4SLB2	A0A2B4SLB2_STYPI	unreviewed	exu AWC38_SpisGene3751	Stylophora pistillata (Smooth cauliflower coral)	Maternal protein exuperantia	386	nucleic acid binding [GO:0003676]	GO:0003676	PFX31474.1
A0A3M6ULL9	A0A3M6ULL9_POCDA	unreviewed	pdam_00022219	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	157	integral component of membrane [GO:0016021]	GO:0016021	RMX54583.1
A0A3M6UHL1	A0A3M6UHL1_POCDA	unreviewed	pdam_00021976	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	499	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX53180.1
A0A3M6UHP8	A0A3M6UHP8_POCDA	unreviewed	pdam_00021978	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1282	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]; scavenger receptor activity [GO:0005044]	GO:0004713; GO:0005044; GO:0005524; GO:0016021	RMX53182.1
A0A3M6UKT9	A0A3M6UKT9_POCDA	unreviewed	pdam_00014915	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	690	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411; GO:0016021	RMX53988.1
A0A3M6U7Z5	A0A3M6U7Z5_POCDA	unreviewed	pdam_00008580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Essential MCU regulator, mitochondrial	165	uniplex complex [GO:1990246]; calcium import into the mitochondrion [GO:0036444]; mitochondrial calcium ion homeostasis [GO:0051560]	GO:0036444; GO:0051560; GO:1990246	RMX49706.1
A0A2B4RB45	A0A2B4RB45_STYPI	unreviewed	PTPRA AWC38_SpisGene22306	Stylophora pistillata (Smooth cauliflower coral)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	1755	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	PFX13598.1
A0A3M6UPZ1	A0A3M6UPZ1_POCDA	unreviewed	pdam_00018722	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	JmjC domain-containing protein	421			RMX55681.1
A0A2B4S4R7	A0A2B4S4R7_STYPI	unreviewed	Ret AWC38_SpisGene12017	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1554	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX23455.1
A0A3M6U3H1	A0A3M6U3H1_POCDA	unreviewed	pdam_00014684	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	748	integral component of membrane [GO:0016021]	GO:0016021	RMX48146.1
A0A2B4SZG3	A0A2B4SZG3_STYPI	unreviewed	AWC38_SpisGene1264	Stylophora pistillata (Smooth cauliflower coral)	ZP domain-containing protein	405	integral component of membrane [GO:0016021]	GO:0016021	PFX33827.1
A0A3M6UTR1	A0A3M6UTR1_POCDA	unreviewed	pdam_00006154	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	607	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX57062.1
A0A2B4RYX3	A0A2B4RYX3_STYPI	unreviewed	CRNKL1 AWC38_SpisGene11791	Stylophora pistillata (Smooth cauliflower coral)	Crooked neck-like protein 1	683	nucleus [GO:0005634]; mRNA processing [GO:0006397]	GO:0005634; GO:0006397	PFX23654.1
A0A3M6UGN6	A0A3M6UGN6_POCDA	unreviewed	pdam_00011341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1879	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX52840.1
A0A2B4RX90	A0A2B4RX90_STYPI	unreviewed	AWC38_SpisGene13730	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	642			PFX21776.1
A0A3M6UZB2	A0A3M6UZB2_POCDA	unreviewed	pdam_00018175	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	277			RMX59005.1
A0A3M6UQZ2	A0A3M6UQZ2_POCDA	unreviewed	pdam_00010386	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	118	integral component of membrane [GO:0016021]	GO:0016021	RMX56080.1
A0A3M6UR95	A0A3M6UR95_POCDA	unreviewed	pdam_00010381	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1035			RMX56087.1
A0A3M6UEJ8	A0A3M6UEJ8_POCDA	unreviewed	pdam_00015170	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	720	cytoskeleton [GO:0005856]; signal transduction [GO:0007165]	GO:0005856; GO:0007165	RMX52113.1
A0A3M6UZX3	A0A3M6UZX3_POCDA	unreviewed	pdam_00005686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	370	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX59225.1
A0A3M6V074	A0A3M6V074_POCDA	unreviewed	pdam_00005693	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	281	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX59239.1
A0A2B4SE66	A0A2B4SE66_STYPI	unreviewed	rag1 AWC38_SpisGene7923	Stylophora pistillata (Smooth cauliflower coral)	V(D)J recombination activating protein 1	427	metal ion binding [GO:0046872]	GO:0046872	PFX27379.1
A0A3M6UW96	A0A3M6UW96_POCDA	unreviewed	pdam_00025437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein	937	nucleotide binding [GO:0000166]	GO:0000166	RMX57869.1
A0A2B4SCA6	A0A2B4SCA6_STYPI	unreviewed	AWC38_SpisGene9173	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	340	integral component of membrane [GO:0016021]	GO:0016021	PFX26172.1
A0A3M6TCS6	A0A3M6TCS6_POCDA	unreviewed	pdam_00023338	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	962			RMX39170.1
A0A2B4R2J0	A0A2B4R2J0_STYPI	unreviewed	AWC38_SpisGene24930	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	1534			PFX11376.1
A0A2B4S385	A0A2B4S385_STYPI	unreviewed	AWC38_SpisGene11942	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	302	integral component of membrane [GO:0016021]	GO:0016021	PFX23503.1
A0A3M6TYN2	A0A3M6TYN2_POCDA	unreviewed	pdam_00017832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1198			RMX46466.1
A0A3M6UYM9	A0A3M6UYM9_POCDA	unreviewed	pdam_00009498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	356	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX58727.1
A0A3M6UYH9	A0A3M6UYH9_POCDA	unreviewed	pdam_00009496	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	660	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX58732.1
A0A3M6UYH6	A0A3M6UYH6_POCDA	unreviewed	pdam_00009495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	651			RMX58731.1
A0A2B4RNX3	A0A2B4RNX3_STYPI	unreviewed	KCNA4 AWC38_SpisGene16731	Stylophora pistillata (Smooth cauliflower coral)	Potassium voltage-gated channel subfamily A member 4	618	voltage-gated potassium channel complex [GO:0008076]; calcium ion binding [GO:0005509]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]	GO:0005249; GO:0005509; GO:0008076; GO:0034765; GO:0051260	PFX18876.1
A0A3M6V282	A0A3M6V282_POCDA	unreviewed	pdam_00019316	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Paired domain-containing protein	642	nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003677; GO:0005634; GO:0006355	RMX60007.1
A0A3M6U1F5	A0A3M6U1F5_POCDA	unreviewed	pdam_00021016	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1165	calcium ion binding [GO:0005509]	GO:0005509	RMX47328.1
A0A3M6U1L5	A0A3M6U1L5_POCDA	unreviewed	pdam_00025753	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	THAP-type domain-containing protein (Fragment)	259	nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; cell cycle [GO:0007049]	GO:0005654; GO:0007049; GO:0043565; GO:0046872	RMX47573.1
A0A3M6TFL8	A0A3M6TFL8_POCDA	unreviewed	pdam_00023785	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	572	calcium ion binding [GO:0005509]	GO:0005509	RMX40192.1
A0A3M6T889	A0A3M6T889_POCDA	unreviewed	pdam_00024317	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	116			RMX37529.1
A0A2B4SB90	A0A2B4SB90_STYPI	unreviewed	Ttc9c AWC38_SpisGene9537	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 9C	733			PFX25838.1
A0A3M6T4K4	A0A3M6T4K4_POCDA	unreviewed	pdam_00003803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	75			RMX35533.1
A0A3M6T4E9	A0A3M6T4E9_POCDA	unreviewed	pdam_00003804	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	89			RMX35528.1
A0A2B4S8X2	A0A2B4S8X2_STYPI	unreviewed	AWC38_SpisGene9535	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	86			PFX25836.1
A0A2B4SB82	A0A2B4SB82_STYPI	unreviewed	AWC38_SpisGene9534	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	78			PFX25837.1
A0A3M6UH22	A0A3M6UH22_POCDA	unreviewed	pdam_00024065	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	343			RMX52967.1
A0A2B4R5E4	A0A2B4R5E4_STYPI	unreviewed	Rfwd2 AWC38_SpisGene22337	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase RFWD2	685	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	GO:0046872; GO:0061630	PFX13564.1
A0A3M6U699	A0A3M6U699_POCDA	unreviewed	pdam_00003957	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	328			RMX49064.1
A0A2B4RJN8	A0A2B4RJN8_STYPI	unreviewed	AWC38_SpisGene19146	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	439			PFX16577.1
A0A3M6UC56	A0A3M6UC56_POCDA	unreviewed	pdam_00022282	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1181			RMX51250.1
A0A3M6UN03	A0A3M6UN03_POCDA	unreviewed	pdam_00023218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	558			RMX55073.1
A0A3M6TZD3	A0A3M6TZD3_POCDA	unreviewed	pdam_00025362	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PNT domain-containing protein (Fragment)	2145	sequence-specific DNA binding [GO:0043565]	GO:0043565	RMX46805.1
A0A3M6TAV0	A0A3M6TAV0_POCDA	unreviewed	pdam_00025631	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	218			RMX38459.1
A0A2B4SNY2	A0A2B4SNY2_STYPI	unreviewed	ING4 AWC38_SpisGene4986	Stylophora pistillata (Smooth cauliflower coral)	Inhibitor of growth protein 4	900	cysteine-type peptidase activity [GO:0008234]; metal ion binding [GO:0046872]	GO:0008234; GO:0046872	PFX30232.1
A0A3M6T5R0	A0A3M6T5R0_POCDA	unreviewed	pdam_00025450	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	855	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX36720.1
A0A3M6TAU3	A0A3M6TAU3_POCDA	unreviewed	pdam_00016272	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MACPF domain-containing protein (Fragment)	675			RMX38451.1
A0A3M6TR58	A0A3M6TR58_POCDA	unreviewed	pdam_00023929	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1127			RMX43829.1
