Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A3M6V948	A0A3M6V948_POCDA	unreviewed	pdam_00018290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	369	calcium ion binding [GO:0005509]	GO:0005509	RMX61398.1
A0A3M6UIW7	A0A3M6UIW7_POCDA	unreviewed	pdam_00025543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	375	metal ion binding [GO:0046872]	GO:0046872	RMX53611.1
A0A2B4RBU0	A0A2B4RBU0_STYPI	unreviewed	AWC38_SpisGene22041	Stylophora pistillata (Smooth cauliflower coral)	DDE Tnp4 domain-containing protein	461	metal ion binding [GO:0046872]	GO:0046872	PFX13848.1
A0A3M6U9H4	A0A3M6U9H4_POCDA	unreviewed	pdam_00002949	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	235	calcium ion binding [GO:0005509]	GO:0005509	RMX50108.1
A0A2B4SMV1	A0A2B4SMV1_STYPI	unreviewed	Ttc28 AWC38_SpisGene4766	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	902			PFX30439.1
A0A3M6UCC5	A0A3M6UCC5_POCDA	unreviewed	pdam_00021987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	244			RMX51088.1
A0A3M6USP6	A0A3M6USP6_POCDA	unreviewed	pdam_00023667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	779	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX56723.1
A0A3M6V5D2	A0A3M6V5D2_POCDA	unreviewed	pdam_00016682	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	139	integral component of membrane [GO:0016021]	GO:0016021	RMX61142.1
A0A2B4R555	A0A2B4R555_STYPI	unreviewed	Ankrd28 AWC38_SpisGene23773	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (Fragment)	447			PFX12296.1
A0A3M6UHB2	A0A3M6UHB2_POCDA	unreviewed	pdam_00021617	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Pentaxin (Pentraxin)	184	extracellular region [GO:0005576]; metal ion binding [GO:0046872]	GO:0005576; GO:0046872	RMX52904.1
A0A3M6URM6	A0A3M6URM6_POCDA	unreviewed	pdam_00024682	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	291	integral component of membrane [GO:0016021]	GO:0016021	RMX56310.1
A0A3M6UI00	A0A3M6UI00_POCDA	unreviewed	pdam_00025479	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	316			RMX53189.1
A0A3M6TRH1	A0A3M6TRH1_POCDA	unreviewed	pdam_00022342	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	147			RMX43941.1
A0A2B4REX4	A0A2B4REX4_STYPI	unreviewed	ATP5C1 AWC38_SpisGene20989	Stylophora pistillata (Smooth cauliflower coral)	ATP synthase subunit gamma, mitochondrial	339	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0045261; GO:0046933	PFX14825.1
A0A3M6UN37	A0A3M6UN37_POCDA	unreviewed	pdam_00023211	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TRAF-type domain-containing protein	184	zinc ion binding [GO:0008270]	GO:0008270	RMX55076.1
A0A2B4SPN4	A0A2B4SPN4_STYPI	unreviewed	ACAN AWC38_SpisGene4153	Stylophora pistillata (Smooth cauliflower coral)	Aggrecan core protein	235			PFX31079.1
A0A3M6UD58	A0A3M6UD58_POCDA	unreviewed	pdam_00020353	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	317			RMX51444.1
A0A3M6UZF3	A0A3M6UZF3_POCDA	unreviewed	pdam_00021831	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	439			RMX58979.1
A0A2B4RZK1	A0A2B4RZK1_STYPI	unreviewed	trim71 AWC38_SpisGene11532	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	901	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX23884.1
A0A3M6UUI1	A0A3M6UUI1_POCDA	unreviewed	pdam_00012864	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Apple domain-containing protein	542			RMX57295.1
A0A3M6THN9	A0A3M6THN9_POCDA	unreviewed	pdam_00023758	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	223			RMX40943.1
A0A3M6U2F2	A0A3M6U2F2_POCDA	unreviewed	pdam_00024564	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	255			RMX47704.1
A0A2B4R9V9	A0A2B4R9V9_STYPI	unreviewed	AWC38_SpisGene22311	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	583			PFX13593.1
A0A3M6TRG1	A0A3M6TRG1_POCDA	unreviewed	pdam_00024909	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1205	transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0007165; GO:0016757	RMX43858.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A3M6V4Z5	A0A3M6V4Z5_POCDA	unreviewed	pdam_00007559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	4834	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; protein kinase activity [GO:0004672]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0004672; GO:0004930; GO:0005524; GO:0005886; GO:0007399; GO:0008201; GO:0016021; GO:0030154	RMX61033.1
A0A2B4RHD3	A0A2B4RHD3_STYPI	unreviewed	HARBI1 AWC38_SpisGene19145	Stylophora pistillata (Smooth cauliflower coral)	Putative nuclease HARBI1	428	metal ion binding [GO:0046872]	GO:0046872	PFX16576.1
A0A3M6TGY6	A0A3M6TGY6_POCDA	unreviewed	pdam_00023528	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	377			RMX40657.1
A0A2B4REM5	A0A2B4REM5_STYPI	unreviewed	Cad96Ca AWC38_SpisGene21115	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1122	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005044; GO:0005524; GO:0016021	PFX14702.1
A0A3M6UP03	A0A3M6UP03_POCDA	unreviewed	pdam_00021341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	699	plasma membrane [GO:0005886]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005044; GO:0005886; GO:0007155; GO:0007411	RMX55264.1
A0A2B4SHP3	A0A2B4SHP3_STYPI	unreviewed	Setd2 AWC38_SpisGene6343	Stylophora pistillata (Smooth cauliflower coral)	Histone-lysine N-methyltransferase SETD2	1330	chromosome [GO:0005694]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; extracellular matrix structural constituent [GO:0005201]; histone methyltransferase activity (H3-K36 specific) [GO:0046975]; histone H3-K36 trimethylation [GO:0097198]	GO:0005201; GO:0005634; GO:0005694; GO:0016021; GO:0046975; GO:0097198	PFX28906.1
A0A3M6TP26	A0A3M6TP26_POCDA	unreviewed	pdam_00006842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	326	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; transmembrane transport [GO:0055085]	GO:0005743; GO:0016021; GO:0055085	RMX43096.1
A0A3M6TCI2	A0A3M6TCI2_POCDA	unreviewed	pdam_00021494	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1100			RMX39028.1
A0A2B4RJ97	A0A2B4RJ97_STYPI	unreviewed	Tf2-11 AWC38_SpisGene17163	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-11 polyprotein	972			PFX18464.1
A0A2B4RL51	A0A2B4RL51_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene18131	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	2118	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX17533.1
A0A3M6U601	A0A3M6U601_POCDA	unreviewed	pdam_00003897	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	425			RMX49105.1
A0A2B4SUM8	A0A2B4SUM8_STYPI	unreviewed	NEMF AWC38_SpisGene2346	Stylophora pistillata (Smooth cauliflower coral)	Nuclear export mediator factor NEMF	1174	integral component of membrane [GO:0016021]	GO:0016021	PFX32793.1
A0A3M6U4B3	A0A3M6U4B3_POCDA	unreviewed	pdam_00008498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1134	protein homooligomerization [GO:0051260]	GO:0051260	RMX48525.1
A0A2B4RWP4	A0A2B4RWP4_STYPI	unreviewed	AWC38_SpisGene14292	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	306			PFX21239.1
A0A3M6TPA2	A0A3M6TPA2_POCDA	unreviewed	pdam_00023394	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ABC transmembrane type-1 domain-containing protein	687	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX43074.1
A0A2B4S501	A0A2B4S501_STYPI	unreviewed	Sdk2 AWC38_SpisGene11782	Stylophora pistillata (Smooth cauliflower coral)	Protein sidekick-2 (Fragment)	1527	integral component of membrane [GO:0016021]	GO:0016021	PFX23638.1
A0A3M6UHL5	A0A3M6UHL5_POCDA	unreviewed	pdam_00011330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1416	integral component of membrane [GO:0016021]	GO:0016021	RMX52858.1
A0A3M6UTV0	A0A3M6UTV0_POCDA	unreviewed	pdam_00008205	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TNFR-Cys domain-containing protein	374	integral component of membrane [GO:0016021]	GO:0016021	RMX57070.1
A0A2B4S712	A0A2B4S712_STYPI	unreviewed	Nlrp12 AWC38_SpisGene8868	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1176	signal transduction [GO:0007165]	GO:0007165	PFX26454.1
A0A3M6UXH8	A0A3M6UXH8_POCDA	unreviewed	pdam_00012522	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	104			RMX58365.1
A0A3M6TUX1	A0A3M6TUX1_POCDA	unreviewed	pdam_00025249	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	338			RMX45225.1
A0A3M6TWB2	A0A3M6TWB2_POCDA	unreviewed	pdam_00023845	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	495			RMX45670.1
A0A3M6V1V0	A0A3M6V1V0_POCDA	unreviewed	pdam_00025561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	776			RMX59867.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A2B4RYW0	A0A2B4RYW0_STYPI	unreviewed	Pcsk1 AWC38_SpisGene13748	Stylophora pistillata (Smooth cauliflower coral)	Neuroendocrine convertase 1	1099	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0046872	PFX21740.1
A0A3M6TKL9	A0A3M6TKL9_POCDA	unreviewed	pdam_00012500	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	479			RMX41838.1
A0A3M6UU84	A0A3M6UU84_POCDA	unreviewed	pdam_00010590	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	821			RMX57236.1
A0A3M6T6F1	A0A3M6T6F1_POCDA	unreviewed	pdam_00000937	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0046872	RMX36960.1
A0A3M6UDH3	A0A3M6UDH3_POCDA	unreviewed	pdam_00010330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	967			RMX51554.1
A0A3M6V2X8	A0A3M6V2X8_POCDA	unreviewed	pdam_00024211	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	112			RMX60210.1
A0A3M6UH25	A0A3M6UH25_POCDA	unreviewed	pdam_00025092	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	241	nucleus [GO:0005634]	GO:0005634	RMX52980.1
A0A3M6UH57	A0A3M6UH57_POCDA	unreviewed	pdam_00025094	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CxC2 domain-containing protein (Fragment)	762			RMX52982.1
A0A2B4RBK0	A0A2B4RBK0_STYPI	unreviewed	Fur2 AWC38_SpisGene21686	Stylophora pistillata (Smooth cauliflower coral)	Furin-like protease 2	970	serine-type endopeptidase activity [GO:0004252]	GO:0004252	PFX14179.1
A0A2B4SNY2	A0A2B4SNY2_STYPI	unreviewed	ING4 AWC38_SpisGene4986	Stylophora pistillata (Smooth cauliflower coral)	Inhibitor of growth protein 4	900	cysteine-type peptidase activity [GO:0008234]; metal ion binding [GO:0046872]	GO:0008234; GO:0046872	PFX30232.1
A0A2B4SE66	A0A2B4SE66_STYPI	unreviewed	rag1 AWC38_SpisGene7923	Stylophora pistillata (Smooth cauliflower coral)	V(D)J recombination activating protein 1	427	metal ion binding [GO:0046872]	GO:0046872	PFX27379.1
A0A3M6TFV2	A0A3M6TFV2_POCDA	unreviewed	pdam_00016536	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	217	signal transduction [GO:0007165]	GO:0007165	RMX40221.1
A0A2B4SZW6	A0A2B4SZW6_STYPI	unreviewed	RTase AWC38_SpisGene893	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	515	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX34112.1
A0A3M6UES7	A0A3M6UES7_POCDA	unreviewed	pdam_00003747	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	99			RMX52079.1
A0A2B4SLY3	A0A2B4SLY3_STYPI	unreviewed	AWC38_SpisGene5839	Stylophora pistillata (Smooth cauliflower coral)	Dimer_Tnp_hAT domain-containing protein	704	protein dimerization activity [GO:0046983]	GO:0046983	PFX29415.1
A0A2B4RSB3	A0A2B4RSB3_STYPI	unreviewed	AWC38_SpisGene16161	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1286	signal transduction [GO:0007165]	GO:0007165	PFX19430.1
A0A2B4RYS8	A0A2B4RYS8_STYPI	unreviewed	HMCN2 AWC38_SpisGene13554	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-2	2620	integral component of membrane [GO:0016021]	GO:0016021	PFX21943.1
A0A3M6U227	A0A3M6U227_POCDA	unreviewed	pdam_00026076	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	144			RMX47690.1
A0A2B4RGA4	A0A2B4RGA4_STYPI	unreviewed	pif1 AWC38_SpisGene20264	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	1739	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016021; GO:0016787	PFX15510.1
A0A3M6V4H5	A0A3M6V4H5_POCDA	unreviewed	pdam_00007782	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	201			RMX60805.1
A0A3M6UJ42	A0A3M6UJ42_POCDA	unreviewed	pdam_00000291	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SRR1 domain-containing protein	312			RMX53665.1
A0A2B4RG27	A0A2B4RG27_STYPI	unreviewed	Tf2-11 AWC38_SpisGene20446	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-11 polyprotein	1072			PFX15328.1
A0A3M6ULX4	A0A3M6ULX4_POCDA	unreviewed	pdam_00023423	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SH2 domain-containing protein	674	signal transduction [GO:0007165]	GO:0007165	RMX54348.1
A0A3M6U214	A0A3M6U214_POCDA	unreviewed	pdam_00024037	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	135			RMX47589.1
A0A6A5KWA6	A0A6A5KWA6_LUPAL	unreviewed	Lal_00009062	Lupinus albus (White lupine) (Lupinus termis)	Anthranilate synthase component 2 (EC 2.6.1.85) (EC 4.1.1.48) (EC 4.1.3.27) (EC 5.3.1.24) (Anthranilate synthase, glutamine amidotransferase component) (Indole-3-glycerol phosphate synthase) (Multifunctional tryptophan biosynthesis protein) (Para-aminobenzoate synthase) (p-aminobenzoic acid synthase)	1432	4-amino-4-deoxychorismate synthase activity [GO:0046820]; anthranilate phosphoribosyltransferase activity [GO:0004048]; anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]; metal ion binding [GO:0046872]; phosphoribosylanthranilate isomerase activity [GO:0004640]; folic acid biosynthetic process [GO:0046656]; glutamine metabolic process [GO:0006541]; tetrahydrofolate biosynthetic process [GO:0046654]; tryptophan biosynthetic process [GO:0000162]	GO:0000162; GO:0004048; GO:0004049; GO:0004425; GO:0004640; GO:0006541; GO:0046654; GO:0046656; GO:0046820; GO:0046872	KAF1852889.1
A0A3M6TSI0	A0A3M6TSI0_POCDA	unreviewed	pdam_00021531	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	323			RMX44296.1
A0A2B4R1Q3	A0A2B4R1Q3_STYPI	unreviewed	NLRP12 AWC38_SpisGene23775	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1549	integral component of membrane [GO:0016021]	GO:0016021	PFX12294.1
A0A2B4RRV5	A0A2B4RRV5_STYPI	unreviewed	AWC38_SpisGene15226	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	376			PFX20331.1
A0A3M6T7U5	A0A3M6T7U5_POCDA	unreviewed	pdam_00024112	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein (Fragment)	1259	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	GO:0005262; GO:0016021	RMX37485.1
A0A2B4R6L7	A0A2B4R6L7_STYPI	unreviewed	Cad96Ca AWC38_SpisGene23172	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1006	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX12806.1
A0A2B4S256	A0A2B4S256_STYPI	unreviewed	trim71 AWC38_SpisGene12327	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1983	cytoplasm [GO:0005737]; FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]; zinc ion binding [GO:0008270]	GO:0004497; GO:0005737; GO:0008270; GO:0071949	PFX23129.1
A0A3M6TNQ1	A0A3M6TNQ1_POCDA	unreviewed	pdam_00020881	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	518			RMX42918.1
A0A2B4S3L6	A0A2B4S3L6_STYPI	unreviewed	TTC28 AWC38_SpisGene11783	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	2389			PFX23639.1
A0A2B4R4X7	A0A2B4R4X7_STYPI	unreviewed	HMCN1 AWC38_SpisGene24265	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1 (Fragment)	1482	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004672; GO:0005044; GO:0005524; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX11869.1
A0A2B4S395	A0A2B4S395_STYPI	unreviewed	ABCC4 AWC38_SpisGene12462	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1251	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22992.1
A0A2B4R8V5	A0A2B4R8V5_STYPI	unreviewed	pol AWC38_SpisGene22685	Stylophora pistillata (Smooth cauliflower coral)	Reverse transcriptase	1765	nucleic acid binding [GO:0003676]	GO:0003676	PFX13249.1
A0A3M6V316	A0A3M6V316_POCDA	unreviewed	pdam_00024673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	93			RMX60336.1
A0A3M6UAM1	A0A3M6UAM1_POCDA	unreviewed	pdam_00024588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1978	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	RMX50589.1
A0A3M6U0F1	A0A3M6U0F1_POCDA	unreviewed	pdam_00016215	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	979			RMX47140.1
A0A3M6TNE7	A0A3M6TNE7_POCDA	unreviewed	pdam_00014143	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	817			RMX42754.1
A0A3M6TRI5	A0A3M6TRI5_POCDA	unreviewed	pdam_00022986	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	210			RMX44023.1
A0A2B4SFM4	A0A2B4SFM4_STYPI	unreviewed	AWC38_SpisGene7935	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX27357.1
A0A3M6TLT0	A0A3M6TLT0_POCDA	unreviewed	pdam_00017325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1328	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]	GO:0003824; GO:0016021	RMX42204.1
A0A3M6TBQ3	A0A3M6TBQ3_POCDA	unreviewed	pdam_00018531	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UPAR/Ly6 domain-containing protein	118			RMX38749.1
A0A3M6V4Y8	A0A3M6V4Y8_POCDA	unreviewed	pdam_00007578	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2H2-type domain-containing protein	1908			RMX61016.1
A0A2B4R917	A0A2B4R917_STYPI	unreviewed	AWC38_SpisGene22257	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	874	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	GO:0005576; GO:0006869; GO:0008289; GO:0016021; GO:0042157	PFX13646.1
A0A3M6UZ00	A0A3M6UZ00_POCDA	unreviewed	pdam_00022037	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	255			RMX58882.1
A0A2B4RNC6	A0A2B4RNC6_STYPI	unreviewed	TTC28 AWC38_SpisGene15619	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	946			PFX19934.1
A0A3M6UU13	A0A3M6UU13_POCDA	unreviewed	pdam_00008256	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	919	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX57130.1
A0A3M6TSF2	A0A3M6TSF2_POCDA	unreviewed	pdam_00019518	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	361	integral component of membrane [GO:0016021]; ubiquitin protein ligase activity [GO:0061630]	GO:0016021; GO:0061630	RMX44259.1
A0A2B4SI41	A0A2B4SI41_STYPI	unreviewed	pol AWC38_SpisGene4872	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	882	integral component of membrane [GO:0016021]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016021	PFX30324.1
A0A3M6V3A1	A0A3M6V3A1_POCDA	unreviewed	pdam_00020575	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1166	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005044; GO:0005886; GO:0007155; GO:0007411; GO:0016021	RMX60395.1
A0A432I9K5	A0A432I9K5_9GAMM	unreviewed	DSY43_01240	Gammaproteobacteria bacterium	Uncharacterized protein	902			RUA06772.1
A0A3M6UHN1	A0A3M6UHN1_POCDA	unreviewed	pdam_00026005	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	149			RMX53079.1
A0A3M6TYF4	A0A3M6TYF4_POCDA	unreviewed	pdam_00000548	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1885	calcium ion binding [GO:0005509]	GO:0005509	RMX46455.1
A0A3M6TV52	A0A3M6TV52_POCDA	unreviewed	pdam_00016502	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	803	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX45134.1
A0A3M6UUB6	A0A3M6UUB6_POCDA	unreviewed	pdam_00025708	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	410			RMX57266.1
A0A2B4RVB7	A0A2B4RVB7_STYPI	unreviewed	FBN1 AWC38_SpisGene14758	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-1	3200	calcium ion binding [GO:0005509]	GO:0005509	PFX20779.1
