Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441782
A0A3M6TDF6	A0A3M6TDF6_POCDA	unreviewed	pdam_00005969	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Chloride channel protein	856	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]; chloride transport [GO:0006821]	GO:0005247; GO:0006821; GO:0016021	RMX39416.1
A0A3M6TDG7	A0A3M6TDG7_POCDA	unreviewed	pdam_00005964	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	88			RMX39420.1
A0A3M6TDP9	A0A3M6TDP9_POCDA	unreviewed	pdam_00005963	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	92			RMX39419.1
A0A3M6TDG3	A0A3M6TDG3_POCDA	unreviewed	pdam_00005961	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	84			RMX39413.1
A0A2B4SGS0	A0A2B4SGS0_STYPI	unreviewed	Svep1 AWC38_SpisGene7501	Stylophora pistillata (Smooth cauliflower coral)	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	562			PFX27788.1
A0A3M6UDJ4	A0A3M6UDJ4_POCDA	unreviewed	pdam_00011748	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WW domain-containing protein	784			RMX51753.1
A0A3M6UDL9	A0A3M6UDL9_POCDA	unreviewed	pdam_00011735	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TIR domain-containing protein	516	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0006955; GO:0016021	RMX51725.1
A0A3M6UDZ0	A0A3M6UDZ0_POCDA	unreviewed	pdam_00011734	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TIR domain-containing protein	359	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0006955; GO:0016021	RMX51724.1
A0A3M6UDH7	A0A3M6UDH7_POCDA	unreviewed	pdam_00011731	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	338	integral component of membrane [GO:0016021]	GO:0016021	RMX51721.1
A0A3M6UQ13	A0A3M6UQ13_POCDA	unreviewed	pdam_00016050	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1392	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491	RMX55722.1
A0A2B4S6K5	A0A2B4S6K5_STYPI	unreviewed	Acadsb AWC38_SpisGene11224	Stylophora pistillata (Smooth cauliflower coral)	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	695	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	GO:0003995; GO:0050660	PFX24217.1
A0A2B4S484	A0A2B4S484_STYPI	unreviewed	trim71 AWC38_SpisGene11225	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	886	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX24216.1
A0A2B4RWW5	A0A2B4RWW5_STYPI	unreviewed	RTase AWC38_SpisGene14729	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	611	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX20818.1
A0A3M6UKD1	A0A3M6UKD1_POCDA	unreviewed	pdam_00024807	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	189			RMX54117.1
A0A3M6U738	A0A3M6U738_POCDA	unreviewed	pdam_00013356	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1731	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX49447.1
A0A3M6U6Y1	A0A3M6U6Y1_POCDA	unreviewed	pdam_00013353	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1574	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX49452.1
A0A3M6U751	A0A3M6U751_POCDA	unreviewed	pdam_00013349	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	823	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0016021; GO:0045211	RMX49441.1
A0A2B4SFF6	A0A2B4SFF6_STYPI	unreviewed	Ghitm AWC38_SpisGene8003	Stylophora pistillata (Smooth cauliflower coral)	Growth hormone-inducible transmembrane protein	574	integral component of membrane [GO:0016021]	GO:0016021	PFX27297.1
A0A2B4SFK6	A0A2B4SFK6_STYPI	unreviewed	TRRAP AWC38_SpisGene7740	Stylophora pistillata (Smooth cauliflower coral)	Transformation/transcription domain-associated protein	4009	histone acetyltransferase complex [GO:0000123]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; histone acetylation [GO:0016573]	GO:0000123; GO:0003676; GO:0015074; GO:0016573	PFX27600.1
A0A2B4SG65	A0A2B4SG65_STYPI	unreviewed	COL17A1 AWC38_SpisGene7729	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-1(XVII) chain	213	collagen trimer [GO:0005581]	GO:0005581	PFX27588.1
A0A3M6U0Y1	A0A3M6U0Y1_POCDA	unreviewed	pdam_00012664	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	606	CoA-transferase activity [GO:0008410]	GO:0008410	RMX47296.1
A0A3M6U0X5	A0A3M6U0X5_POCDA	unreviewed	pdam_00012665	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Heme oxygenase (biliverdin-producing) (EC 1.14.14.18) (Fragment)	736	integral component of membrane [GO:0016021]; heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872]; heme oxidation [GO:0006788]	GO:0004392; GO:0006788; GO:0016021; GO:0046872	RMX47292.1
A0A3M6U0W2	A0A3M6U0W2_POCDA	unreviewed	pdam_00012673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FERM domain-containing protein	923	cytoskeleton [GO:0005856]	GO:0005856	RMX47282.1
A0A3M6U0Z0	A0A3M6U0Z0_POCDA	unreviewed	pdam_00012675	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	881	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626	RMX47306.1
A0A3M6UWA9	A0A3M6UWA9_POCDA	unreviewed	pdam_00015927	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Leucine-rich repeat-containing protein 51 (Fragment)	230			RMX57986.1
A0A3M6UW88	A0A3M6UW88_POCDA	unreviewed	pdam_00015928	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	388	integral component of membrane [GO:0016021]; magnesium ion transmembrane transporter activity [GO:0015095]	GO:0015095; GO:0016021	RMX57983.1
A0A2B4S901	A0A2B4S901_STYPI	unreviewed	AWC38_SpisGene8171	Stylophora pistillata (Smooth cauliflower coral)	Alcohol dehydrogenase class-3	1534	nucleic acid binding [GO:0003676]; oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074; GO:0016491	PFX27144.1
A0A3M6UMB4	A0A3M6UMB4_POCDA	unreviewed	pdam_00014132	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ribosomal protein L19	215	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0022625	RMX54796.1
A0A3M6UNS9	A0A3M6UNS9_POCDA	unreviewed	pdam_00021238	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	P/Homo B domain-containing protein	608	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016021	RMX55347.1
A0A3M6UA98	A0A3M6UA98_POCDA	unreviewed	pdam_00008780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PPPDE domain-containing protein	461	peptidase activity [GO:0008233]	GO:0008233	RMX50580.1
A0A3M6TI31	A0A3M6TI31_POCDA	unreviewed	pdam_00014859	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	4797	cytoplasm [GO:0005737]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	GO:0004842; GO:0005737; GO:0008270	RMX40981.1
A0A3M6THW9	A0A3M6THW9_POCDA	unreviewed	pdam_00014861	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	291			RMX40970.1
A0A3M6THV3	A0A3M6THV3_POCDA	unreviewed	pdam_00014869	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1573	integral component of membrane [GO:0016021]	GO:0016021	RMX40975.1
A0A2B4RDG5	A0A2B4RDG5_STYPI	unreviewed	SVEP1 AWC38_SpisGene20961	Stylophora pistillata (Smooth cauliflower coral)	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	613			PFX14849.1
A0A3M6TI87	A0A3M6TI87_POCDA	unreviewed	pdam_00014877	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1466			RMX40964.1
A0A2B4RWU0	A0A2B4RWU0_STYPI	unreviewed	GLG1 AWC38_SpisGene14278	Stylophora pistillata (Smooth cauliflower coral)	Golgi apparatus protein 1	1309	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	GO:0000139; GO:0016021	PFX21243.1
A0A2B4R8C6	A0A2B4R8C6_STYPI	unreviewed	CYLD AWC38_SpisGene22519	Stylophora pistillata (Smooth cauliflower coral)	Ubiquitin carboxyl-terminal hydrolase CYLD	563	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016787	PFX13396.1
A0A2B4SNC1	A0A2B4SNC1_STYPI	unreviewed	K02A2.6 AWC38_SpisGene5164	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	574			PFX30078.1
A0A3M6UDB5	A0A3M6UDB5_POCDA	unreviewed	pdam_00012642	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Gluconolactonase (EC 3.1.1.17) (Regucalcin)	325	calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]; gluconolactonase activity [GO:0004341]	GO:0004341; GO:0005509; GO:0030234	RMX51418.1
A0A3M6UCJ6	A0A3M6UCJ6_POCDA	unreviewed	pdam_00012643	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SGL domain-containing protein	141			RMX51417.1
A0A3M6UK39	A0A3M6UK39_POCDA	unreviewed	pdam_00022334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein (Fragment)	683	cysteine-type endopeptidase activity [GO:0004197]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0004197; GO:0016757	RMX54007.1
A0A3M6V0R7	A0A3M6V0R7_POCDA	unreviewed	pdam_00020121	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	754			RMX59482.1
A0A3M6TNN9	A0A3M6TNN9_POCDA	unreviewed	pdam_00020896	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	1067	metal ion binding [GO:0046872]	GO:0046872	RMX42921.1
A0A3M6U5Q7	A0A3M6U5Q7_POCDA	unreviewed	pdam_00012977	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	461			RMX48864.1
A0A3M6UNN6	A0A3M6UNN6_POCDA	unreviewed	pdam_00021793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	271			RMX55240.1
A0A2B4RBF7	A0A2B4RBF7_STYPI	unreviewed	K02A2.6 AWC38_SpisGene21725	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	365	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190	PFX14143.1
A0A3M6TYN2	A0A3M6TYN2_POCDA	unreviewed	pdam_00017832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1198			RMX46466.1
A0A4D6Q2Z0	A0A4D6Q2Z0_FIMAN	unreviewed	rGC6	Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	Guanylate cyclase (EC 4.6.1.2) (Fragment)	1058	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556	QCF40883.1
A0A3M6UHN1	A0A3M6UHN1_POCDA	unreviewed	pdam_00026005	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	149			RMX53079.1
A0A2B4RJF9	A0A2B4RJF9_STYPI	unreviewed	LRRC1 AWC38_SpisGene18369	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 1	2679	protein dimerization activity [GO:0046983]	GO:0046983	PFX17316.1
A0A3M6V3B2	A0A3M6V3B2_POCDA	unreviewed	pdam_00024101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	404	calcium ion binding [GO:0005509]	GO:0005509	RMX60367.1
A0A3M6TCE3	A0A3M6TCE3_POCDA	unreviewed	pdam_00022410	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	929	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX39066.1
A0A3M6UKD8	A0A3M6UKD8_POCDA	unreviewed	pdam_00017379	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CENP-T_C domain-containing protein	414	kinetochore [GO:0000776]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; kinetochore assembly [GO:0051382]	GO:0000776; GO:0003677; GO:0005634; GO:0046982; GO:0051382	RMX54127.1
A0A3M6UKI6	A0A3M6UKI6_POCDA	unreviewed	pdam_00017386	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	985	nucleus [GO:0005634]; snRNA 3'-end processing [GO:0034472]	GO:0005634; GO:0034472	RMX54135.1
A0A2B4RXR3	A0A2B4RXR3_STYPI	unreviewed	POGK AWC38_SpisGene13079 AWC38_SpisGene15430 AWC38_SpisGene16979 AWC38_SpisGene18190 AWC38_SpisGene19288 AWC38_SpisGene22382 AWC38_SpisGene2255 AWC38_SpisGene2283 AWC38_SpisGene8669	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	416	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX13527.1
A0A3M6TWX7	A0A3M6TWX7_POCDA	unreviewed	pdam_00015049	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	155			RMX45880.1
A0A2B4RMQ4	A0A2B4RMQ4_STYPI	unreviewed	Aass AWC38_SpisGene16711	Stylophora pistillata (Smooth cauliflower coral)	Lysine ketoglutarate reductase (EC 1.5.1.8) (EC 1.5.1.9) (Saccharopine dehydrogenase)	1375	integral component of membrane [GO:0016021]; saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity [GO:0047131]; saccharopine dehydrogenase (NADP+, L-lysine-forming) activity [GO:0047130]; L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]	GO:0016021; GO:0033512; GO:0047130; GO:0047131	PFX18891.1
A0A3M6UVM5	A0A3M6UVM5_POCDA	unreviewed	pdam_00004946	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1747	helicase activity [GO:0004386]	GO:0004386	RMX57722.1
A0A3M6TX67	A0A3M6TX67_POCDA	unreviewed	pdam_00015055	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	571			RMX45884.1
A0A3M6TP82	A0A3M6TP82_POCDA	unreviewed	pdam_00009701	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phosphorylase b kinase regulatory subunit	709	plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; glycogen metabolic process [GO:0005977]	GO:0005516; GO:0005886; GO:0005977	RMX43212.1
A0A2B4R6V7	A0A2B4R6V7_STYPI	unreviewed	POGK AWC38_SpisGene22556	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	535	nucleic acid binding [GO:0003676]	GO:0003676	PFX13361.1
A0A3M6U0I9	A0A3M6U0I9_POCDA	unreviewed	pdam_00022274	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein	180	integral component of membrane [GO:0016021]	GO:0016021	RMX47173.1
A0A3M6V3U8	A0A3M6V3U8_POCDA	unreviewed	pdam_00013766	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	572	TIR domain binding [GO:0070976]; transferase activity, transferring glycosyl groups [GO:0016757]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]	GO:0002755; GO:0016757; GO:0043123; GO:0070976	RMX60643.1
A0A2B4RCF5	A0A2B4RCF5_STYPI	unreviewed	Pdhb AWC38_SpisGene21365	Stylophora pistillata (Smooth cauliflower coral)	Cathepsin C (EC 1.2.4.1) (EC 3.4.14.1) (Cathepsin J) (Dipeptidyl peptidase 1) (Dipeptidyl peptidase 1 exclusion domain chain) (Dipeptidyl peptidase 1 light chain) (Dipeptidyl peptidase I) (Dipeptidyl peptidase I exclusion domain chain) (Dipeptidyl peptidase I light chain) (Dipeptidyl transferase) (Pyruvate dehydrogenase E1 component subunit beta, mitochondrial)	736	cysteine-type peptidase activity [GO:0008234]; dipeptidyl-peptidase activity [GO:0008239]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]	GO:0004739; GO:0006086; GO:0008234; GO:0008239	PFX14469.1
A0A3M6US30	A0A3M6US30_POCDA	unreviewed	pdam_00008860	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	946	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]	GO:0003824; GO:0016021	RMX56470.1
A0A2B4RBG2	A0A2B4RBG2_STYPI	unreviewed	Nagk AWC38_SpisGene21371	Stylophora pistillata (Smooth cauliflower coral)	GlcNAc kinase (EC 2.7.1.59) (N-acetyl-D-glucosamine kinase)	352	N-acetylglucosamine kinase activity [GO:0045127]	GO:0045127	PFX14476.1
A0A2B4SRV7	A0A2B4SRV7_STYPI	unreviewed	PGBD1 AWC38_SpisGene2587	Stylophora pistillata (Smooth cauliflower coral)	PiggyBac transposable element-derived protein 1	779			PFX32631.1
A0A2B4SM98	A0A2B4SM98_STYPI	unreviewed	AWC38_SpisGene5216	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1180	nucleic acid binding [GO:0003676]	GO:0003676	PFX30000.1
A0A2B4RY00	A0A2B4RY00_STYPI	unreviewed	ZMYM1 AWC38_SpisGene13452	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger MYM-type protein 1	1643	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX22036.1
A0A3M6UZW6	A0A3M6UZW6_POCDA	unreviewed	pdam_00005681	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	778	cytoplasm [GO:0005737]	GO:0005737	RMX59223.1
A0A3M6UZX3	A0A3M6UZX3_POCDA	unreviewed	pdam_00005686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	370	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX59225.1
A0A3M6V2X0	A0A3M6V2X0_POCDA	unreviewed	pdam_00010108	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1445			RMX60154.1
A0A3M6U0W1	A0A3M6U0W1_POCDA	unreviewed	pdam_00017810	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidylprolyl isomerase (EC 5.2.1.8)	1482	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755	RMX47276.1
A0A3M6UT88	A0A3M6UT88_POCDA	unreviewed	pdam_00023331	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	491	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX56881.1
A0A3M6UE52	A0A3M6UE52_POCDA	unreviewed	pdam_00025146	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PK_Tyr_Ser-Thr domain-containing protein	837	protein kinase activity [GO:0004672]	GO:0004672	RMX51846.1
A0A2B4S6D0	A0A2B4S6D0_STYPI	unreviewed	AWC38_SpisGene10795	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	377			PFX24603.1
A0A3M6U782	A0A3M6U782_POCDA	unreviewed	pdam_00019479	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	331	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; pyrimidine nucleotide-sugar transmembrane transporter activity [GO:0015165]; carbohydrate transport [GO:0008643]	GO:0000139; GO:0008643; GO:0015165; GO:0016021	RMX49515.1
A0A3M6UUF8	A0A3M6UUF8_POCDA	unreviewed	pdam_00011087	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	121			RMX56948.1
A0A2B4SV09	A0A2B4SV09_STYPI	unreviewed	AWC38_SpisGene2118	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	147			PFX33009.1
A0A3M6UTE9	A0A3M6UTE9_POCDA	unreviewed	pdam_00011083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	172			RMX56952.1
A7RG10	A7RG10_NEMVE	unreviewed	v1g79705	Nematostella vectensis (Starlet sea anemone)	Protein kish (Fragment)	71	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	GO:0000139; GO:0016021	EDO49814.1
A0A432I5M7	A0A432I5M7_9GAMM	unreviewed	DSY43_04430	Gammaproteobacteria bacterium	Uncharacterized protein	831			RUA05530.1
A0A3M6TCP6	A0A3M6TCP6_POCDA	unreviewed	pdam_00017535	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	635	integral component of membrane [GO:0016021]	GO:0016021	RMX39088.1
A0A3M6TMY5	A0A3M6TMY5_POCDA	unreviewed	pdam_00021917	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	166			RMX42783.1
A0A2B4SP29	A0A2B4SP29_STYPI	unreviewed	ZNF862 AWC38_SpisGene3498	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 862	1219			PFX31661.1
A0A3M6T4W3	A0A3M6T4W3_POCDA	unreviewed	pdam_00021768	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	313			RMX35772.1
A0A3M6UH16	A0A3M6UH16_POCDA	unreviewed	pdam_00024063	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	468			RMX52970.1
A0A2B4RKX7	A0A2B4RKX7_STYPI	unreviewed	AWC38_SpisGene17384	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	929	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	PFX18261.1
A0A3M6UMN6	A0A3M6UMN6_POCDA	unreviewed	pdam_00015085	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	84			RMX54905.1
A0A3M6UMZ6	A0A3M6UMZ6_POCDA	unreviewed	pdam_00015084	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	78			RMX54904.1
A0A3M6UMR7	A0A3M6UMR7_POCDA	unreviewed	pdam_00015083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PALP domain-containing protein	459			RMX54899.1
A0A3M6U785	A0A3M6U785_POCDA	unreviewed	pdam_00024656	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	333			RMX49552.1
A0A3M6UKR5	A0A3M6UKR5_POCDA	unreviewed	pdam_00013665	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	310			RMX54215.1
A0A2B4S1C6	A0A2B4S1C6_STYPI	unreviewed	Tf2-9 AWC38_SpisGene12623	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-9 polyprotein	2040	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX22853.1
A0A2B4RDT3	A0A2B4RDT3_STYPI	unreviewed	DZIP3 AWC38_SpisGene21431	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase DZIP3	1580	ADP binding [GO:0043531]	GO:0043531	PFX14412.1
A0A3M6TTH7	A0A3M6TTH7_POCDA	unreviewed	pdam_00012748	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Elongin-C (Fragment)	168	integral component of membrane [GO:0016021]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0016021	RMX44703.1
A0A3M6TTL1	A0A3M6TTL1_POCDA	unreviewed	pdam_00012733	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2150			RMX44696.1
A0A3M6TU03	A0A3M6TU03_POCDA	unreviewed	pdam_00012728	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	105			RMX44714.1
A0A2B4RUT7	A0A2B4RUT7_STYPI	unreviewed	AWC38_SpisGene13271	Stylophora pistillata (Smooth cauliflower coral)	J domain-containing protein	775	integral component of membrane [GO:0016021]	GO:0016021	PFX22214.1
A0A3M6V573	A0A3M6V573_POCDA	unreviewed	pdam_00007569	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	966	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; protein kinase activity [GO:0004672]; protein-hormone receptor activity [GO:0016500]	GO:0004672; GO:0004930; GO:0005524; GO:0005886; GO:0016021; GO:0016500	RMX61047.1
A0A2B4SHS2	A0A2B4SHS2_STYPI	unreviewed	AWC38_SpisGene6870	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	814			PFX28410.1
A0A2B4RYT7	A0A2B4RYT7_STYPI	unreviewed	fgfr1a AWC38_SpisGene11821	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1436	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX23614.1
