Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A35244169G
A0A3M6UF07	A0A3M6UF07_POCDA	unreviewed	pdam_00007957	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	60S ribosomal protein L12 (Fragment)	208	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	RMX52242.1
A0A3M6UF25	A0A3M6UF25_POCDA	unreviewed	pdam_00007966	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NSFL1 cofactor p47 (p97 cofactor p47) (Fragment)	395	Golgi stack [GO:0005795]	GO:0005795	RMX52262.1
A0A3M6TB63	A0A3M6TB63_POCDA	unreviewed	pdam_00025346	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	123			RMX38637.1
A0A3M6TXL4	A0A3M6TXL4_POCDA	unreviewed	pdam_00007842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	354	GPI-anchor transamidase complex [GO:0042765]; GPI-anchor transamidase activity [GO:0003923]; attachment of GPI anchor to protein [GO:0016255]	GO:0003923; GO:0016255; GO:0042765	RMX46193.1
A0A3M6TY43	A0A3M6TY43_POCDA	unreviewed	pdam_00007846	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Flavodoxin-like domain-containing protein	499	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	GO:0010181; GO:0016491	RMX46189.1
A0A3M6TMY3	A0A3M6TMY3_POCDA	unreviewed	pdam_00011842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	188			RMX42668.1
A0A3M6TMU4	A0A3M6TMU4_POCDA	unreviewed	pdam_00011854	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Iodothyronine deiodinase (Fragment)	238	integral component of membrane [GO:0016021]; thyroxine 5'-deiodinase activity [GO:0004800]; hormone biosynthetic process [GO:0042446]	GO:0004800; GO:0016021; GO:0042446	RMX42692.1
A0A2B4SUJ5	A0A2B4SUJ5_STYPI	unreviewed	AWC38_SpisGene2880	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	262	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]	GO:0005739; GO:0005783; GO:0005829; GO:0016021	PFX32248.1
A0A3M6U9G3	A0A3M6U9G3_POCDA	unreviewed	pdam_00004787	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	1007	protein dimerization activity [GO:0046983]	GO:0046983	RMX50179.1
A0A3M6TWJ6	A0A3M6TWJ6_POCDA	unreviewed	pdam_00020737	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	67			RMX45658.1
A0A3M6TW84	A0A3M6TW84_POCDA	unreviewed	pdam_00020731	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1302			RMX45652.1
A0A3M6V1U2	A0A3M6V1U2_POCDA	unreviewed	pdam_00021002	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Rap-GAP domain-containing protein	1828	nucleus [GO:0005634]; TSC1-TSC2 complex [GO:0033596]; GTPase activator activity [GO:0005096]; negative regulation of TOR signaling [GO:0032007]; positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]	GO:0005096; GO:0005634; GO:0032007; GO:0033596; GO:0043547; GO:0051056	RMX59744.1
A0A2B4REE1	A0A2B4REE1_STYPI	unreviewed	RFC2 AWC38_SpisGene20258	Stylophora pistillata (Smooth cauliflower coral)	Replication factor C subunit 2	519	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; DNA replication [GO:0006260]	GO:0003677; GO:0005524; GO:0006260; GO:0016887	PFX15516.1
A0A2B4RGB5	A0A2B4RGB5_STYPI	unreviewed	ADAMTS12 AWC38_SpisGene20256	Stylophora pistillata (Smooth cauliflower coral)	A disintegrin and metalloproteinase with thrombospondin motifs 12	2080	extracellular region [GO:0005576]; Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; integrin-mediated signaling pathway [GO:0007229]; protein glycosylation [GO:0006486]	GO:0004222; GO:0005576; GO:0006486; GO:0007229; GO:0008417; GO:0016021; GO:0032580; GO:0046872	PFX15520.1
A0A3M6THB6	A0A3M6THB6_POCDA	unreviewed	pdam_00017593	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1780	cytoplasm [GO:0005737]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0005737; GO:0007264	RMX40787.1
A0A3M6THA9	A0A3M6THA9_POCDA	unreviewed	pdam_00017586	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	984			RMX40793.1
A0A3M6UQK5	A0A3M6UQK5_POCDA	unreviewed	pdam_00015633	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Amino_oxidase domain-containing protein	906	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; oxidoreductase activity [GO:0016491]; integrin-mediated signaling pathway [GO:0007229]	GO:0005886; GO:0007229; GO:0016021; GO:0016491	RMX55925.1
A0A3M6URN0	A0A3M6URN0_POCDA	unreviewed	pdam_00004429	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2356	extracellular region [GO:0005576]; extracellular matrix structural constituent [GO:0005201]; peptidase inhibitor activity [GO:0030414]	GO:0005201; GO:0005576; GO:0030414	RMX56373.1
A0A3M6URQ5	A0A3M6URQ5_POCDA	unreviewed	pdam_00004430	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	624	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]	GO:0005576; GO:0030414	RMX56340.1
A0A3M6URR0	A0A3M6URR0_POCDA	unreviewed	pdam_00004432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrillar collagen NC1 domain-containing protein	1420	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX56342.1
A0A3M6TXX5	A0A3M6TXX5_POCDA	unreviewed	pdam_00007838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	662			RMX46154.1
A0A3M6TXK3	A0A3M6TXK3_POCDA	unreviewed	pdam_00007829	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2544	nucleus [GO:0005634]; spindle organization [GO:0007051]	GO:0005634; GO:0007051	RMX46183.1
A0A3M6TYQ1	A0A3M6TYQ1_POCDA	unreviewed	pdam_00025259	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	139			RMX46530.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
C0KTQ4	C0KTQ4_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin	162	carbohydrate binding [GO:0030246]	GO:0030246	ACN53515.1
A0A3M6TXQ2	A0A3M6TXQ2_POCDA	unreviewed	pdam_00007821	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mediator complex subunit 22 (Mediator of RNA polymerase II transcription subunit 22)	150	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0006357; GO:0016592	RMX46177.1
A0A3M6TY52	A0A3M6TY52_POCDA	unreviewed	pdam_00007813	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein yippee-like	89	metal ion binding [GO:0046872]	GO:0046872	RMX46199.1
A0A3M6TXN3	A0A3M6TXN3_POCDA	unreviewed	pdam_00007809	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	721	integral component of membrane [GO:0016021]; positive regulation of canonical Wnt signaling pathway [GO:0090263]	GO:0016021; GO:0090263	RMX46165.1
A0A2B4SIQ8	A0A2B4SIQ8_STYPI	unreviewed	SACS AWC38_SpisGene6948	Stylophora pistillata (Smooth cauliflower coral)	Sacsin	2689			PFX28335.1
A0A3M6U7E5	A0A3M6U7E5_POCDA	unreviewed	pdam_00017621	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ATP-grasp domain-containing protein	395	ATP binding [GO:0005524]; metal ion binding [GO:0046872]	GO:0005524; GO:0046872	RMX49575.1
A0A3M6U7A7	A0A3M6U7A7_POCDA	unreviewed	pdam_00017626	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	285	death domain binding [GO:0070513]; protease binding [GO:0002020]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]	GO:0002020; GO:0007165; GO:0042981; GO:0070513	RMX49572.1
A0A2B4SGX8	A0A2B4SGX8_STYPI	unreviewed	AWC38_SpisGene6919	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2079	signal transduction [GO:0007165]	GO:0007165	PFX28323.1
A0A2B4RQD5	A0A2B4RQD5_STYPI	unreviewed	TRIM3 AWC38_SpisGene17187	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1599	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX18442.1
A0A3M6TGJ1	A0A3M6TGJ1_POCDA	unreviewed	pdam_00019663	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1606	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX40334.1
A0A3M6TG63	A0A3M6TG63_POCDA	unreviewed	pdam_00019657	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1475	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX40338.1
A0A2B4RQ55	A0A2B4RQ55_STYPI	unreviewed	IST1 AWC38_SpisGene17190	Stylophora pistillata (Smooth cauliflower coral)	IST1 homolog	344	protein transport [GO:0015031]	GO:0015031	PFX18448.1
A0A3M6UEV7	A0A3M6UEV7_POCDA	unreviewed	pdam_00019215	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	521			RMX52210.1
A0A2B4S083	A0A2B4S083_STYPI	unreviewed	LPHN3 AWC38_SpisGene13260	Stylophora pistillata (Smooth cauliflower coral)	Latrophilin-3	1461	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; GTP binding [GO:0005525]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0005525; GO:0007166; GO:0016021	PFX22220.1
A0A2B4R956	A0A2B4R956_STYPI	unreviewed	AWC38_SpisGene23163	Stylophora pistillata (Smooth cauliflower coral)	SAP domain-containing protein	401			PFX12815.1
A0A2B4SVB5	A0A2B4SVB5_STYPI	unreviewed	asic4 AWC38_SpisGene2660	Stylophora pistillata (Smooth cauliflower coral)	Acid-sensing ion channel 4	667	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	PFX32498.1
A0A3M6T921	A0A3M6T921_POCDA	unreviewed	pdam_00024251	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	262			RMX37833.1
A0A2B4REM5	A0A2B4REM5_STYPI	unreviewed	Cad96Ca AWC38_SpisGene21115	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1122	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005044; GO:0005524; GO:0016021	PFX14702.1
A0A2B4R6G4	A0A2B4R6G4_STYPI	unreviewed	AWC38_SpisGene24016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	735	integral component of membrane [GO:0016021]	GO:0016021	PFX12080.1
A0A3M6TPY0	A0A3M6TPY0_POCDA	unreviewed	pdam_00014946	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	254			RMX43308.1
A0A3M6T5I6	A0A3M6T5I6_POCDA	unreviewed	pdam_00017173	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	257			RMX36569.1
A0A2B4RSB4	A0A2B4RSB4_STYPI	unreviewed	POL AWC38_SpisGene16464	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	1421			PFX19145.1
A0A3M6TBI8	A0A3M6TBI8_POCDA	unreviewed	pdam_00018519	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	259			RMX38752.1
A0A2B4SKX6	A0A2B4SKX6_STYPI	unreviewed	RTase AWC38_SpisGene6221	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	457	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX29075.1
A0A3M6UI95	A0A3M6UI95_POCDA	unreviewed	pdam_00018704	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	276			RMX53355.1
A0A3M6TTA4	A0A3M6TTA4_POCDA	unreviewed	pdam_00018132	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	901	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX44551.1
A0A3M6TT17	A0A3M6TT17_POCDA	unreviewed	pdam_00018133	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	324			RMX44550.1
A0A3M6TZC4	A0A3M6TZC4_POCDA	unreviewed	pdam_00007686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	169			RMX46750.1
A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16501.1
A0A2B4SSI5	A0A2B4SSI5_STYPI	unreviewed	ADAMTS18 AWC38_SpisGene1490	Stylophora pistillata (Smooth cauliflower coral)	A disintegrin and metalloproteinase with thrombospondin motifs 18	1117	calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; integrin-mediated signaling pathway [GO:0007229]	GO:0004222; GO:0005509; GO:0007229	PFX33634.1
A0A2B4RC12	A0A2B4RC12_STYPI	unreviewed	AWC38_SpisGene21824	Stylophora pistillata (Smooth cauliflower coral)	THAP-type domain-containing protein	395	DNA binding [GO:0003677]	GO:0003677	PFX14050.1
A0A3M6UTR8	A0A3M6UTR8_POCDA	unreviewed	pdam_00016965	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	344			RMX56964.1
A0A3M6UFI7	A0A3M6UFI7_POCDA	unreviewed	pdam_00019893	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BHLH domain-containing protein	190	protein dimerization activity [GO:0046983]	GO:0046983	RMX52178.1
A0A2B4S4U2	A0A2B4S4U2_STYPI	unreviewed	HPS1 AWC38_SpisGene9631	Stylophora pistillata (Smooth cauliflower coral)	Hermansky-Pudlak syndrome 1 protein	652	vesicle-mediated transport [GO:0016192]	GO:0016192	PFX25714.1
A0A3M6T7D1	A0A3M6T7D1_POCDA	unreviewed	pdam_00019037	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UVR domain-containing protein	1095	condensin complex [GO:0000796]; cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]	GO:0000796; GO:0007076; GO:0051301	RMX37214.1
A0A2B4RUJ6	A0A2B4RUJ6_STYPI	unreviewed	COL9A1 AWC38_SpisGene15562	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-1(IX) chain	185	collagen trimer [GO:0005581]	GO:0005581	PFX20017.1
A0A3M6TVS5	A0A3M6TVS5_POCDA	unreviewed	pdam_00008431	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	511	signal transduction [GO:0007165]	GO:0007165	RMX45502.1
A0A3M6TW44	A0A3M6TW44_POCDA	unreviewed	pdam_00008432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	624	integral component of membrane [GO:0016021]	GO:0016021	RMX45504.1
A0A3M6TVV4	A0A3M6TVV4_POCDA	unreviewed	pdam_00008438	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	116			RMX45532.1
A0A3M6TVT5	A0A3M6TVT5_POCDA	unreviewed	pdam_00008440	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	152			RMX45535.1
A0A2B4RKK7	A0A2B4RKK7_STYPI	unreviewed	AWC38_SpisGene18340	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	372	integral component of membrane [GO:0016021]	GO:0016021	PFX17333.1
A0A2B4RIA4	A0A2B4RIA4_STYPI	unreviewed	AWC38_SpisGene18338	Stylophora pistillata (Smooth cauliflower coral)	ShKT domain-containing protein	1135	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729	PFX17341.1
A0A3M6TVY1	A0A3M6TVY1_POCDA	unreviewed	pdam_00008447	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	952			RMX45526.1
A0A3M6TVT9	A0A3M6TVT9_POCDA	unreviewed	pdam_00008449	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PNP_UDP_1 domain-containing protein	343	cytoplasm [GO:0005737]; uridine phosphorylase activity [GO:0004850]; nucleoside metabolic process [GO:0009116]; nucleotide catabolic process [GO:0009166]	GO:0004850; GO:0005737; GO:0009116; GO:0009166	RMX45500.1
A0A2B4S4Z2	A0A2B4S4Z2_STYPI	unreviewed	AWC38_SpisGene11814	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1316			PFX23628.1
A0A3M6UX92	A0A3M6UX92_POCDA	unreviewed	pdam_00000006	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	350			RMX58271.1
A0A2B4RHJ5	A0A2B4RHJ5_STYPI	unreviewed	TTC28 AWC38_SpisGene17792	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	988			PFX17854.1
A0A3M6UXC0	A0A3M6UXC0_POCDA	unreviewed	pdam_00000033	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	613	metal ion binding [GO:0046872]	GO:0046872	RMX58301.1
A0A3M6UWY5	A0A3M6UWY5_POCDA	unreviewed	pdam_00000045	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	758	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411; GO:0016021	RMX58130.1
A0A3M6U0G3	A0A3M6U0G3_POCDA	unreviewed	pdam_00022272	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	138			RMX47175.1
A0A2B4R8Q7	A0A2B4R8Q7_STYPI	unreviewed	AWC38_SpisGene23246	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101 (Fragment)	1017	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX12747.1
A0A3M6TXV3	A0A3M6TXV3_POCDA	unreviewed	pdam_00020850	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	281			RMX46134.1
A0A2B4RDH7	A0A2B4RDH7_STYPI	unreviewed	DMBT1 AWC38_SpisGene21551	Stylophora pistillata (Smooth cauliflower coral)	Deleted in malignant brain tumors 1 protein	894	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	PFX14302.1
A0A3M6TSF6	A0A3M6TSF6_POCDA	unreviewed	pdam_00025476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	574	integral component of membrane [GO:0016021]	GO:0016021	RMX44332.1
A0A3M6UQB2	A0A3M6UQB2_POCDA	unreviewed	pdam_00006222	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	B box-type domain-containing protein	928	transferase activity, transferring glycosyl groups [GO:0016757]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016757	RMX55856.1
A0A2B4S0N4	A0A2B4S0N4_STYPI	unreviewed	K02A2.6 AWC38_SpisGene12884	Stylophora pistillata (Smooth cauliflower coral)	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-)	1301	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; S-adenosyl-L-methionine binding [GO:1904047]; transferase activity [GO:0016740]; DNA integration [GO:0015074]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	GO:0000455; GO:0003676; GO:0005737; GO:0015074; GO:0016740; GO:1904047	PFX22609.1
A0A3M6UU13	A0A3M6UU13_POCDA	unreviewed	pdam_00008256	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	919	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX57130.1
A0A3M6U1L5	A0A3M6U1L5_POCDA	unreviewed	pdam_00025753	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	THAP-type domain-containing protein (Fragment)	259	nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; cell cycle [GO:0007049]	GO:0005654; GO:0007049; GO:0043565; GO:0046872	RMX47573.1
A0A2B4RBZ2	A0A2B4RBZ2_STYPI	unreviewed	Btbd6 AWC38_SpisGene22137	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6	560	cytoplasm [GO:0005737]	GO:0005737	PFX13752.1
A0A3M6UIX7	A0A3M6UIX7_POCDA	unreviewed	pdam_00017353	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	278			RMX53494.1
A0A3M6UIL8	A0A3M6UIL8_POCDA	unreviewed	pdam_00017350	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	875	calcium ion binding [GO:0005509]	GO:0005509	RMX53491.1
A0A2B4SMP7	A0A2B4SMP7_STYPI	unreviewed	PIM1 AWC38_SpisGene5396	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase pim-1	1020	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ion channel activity [GO:0005216]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005216; GO:0005524; GO:0016021	PFX29787.1
A0A3M6V8V2	A0A3M6V8V2_POCDA	unreviewed	pdam_00003528	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein	499	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX61504.1
A0A3M6V6I5	A0A3M6V6I5_POCDA	unreviewed	pdam_00003529	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3812	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264	RMX61505.1
A0A3M6V9Q8	A0A3M6V9Q8_POCDA	unreviewed	pdam_00003537	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (Probable 2-keto-4-hydroxyglutarate aldolase)	370	4-hydroxy-2-oxoglutarate aldolase activity [GO:0008700]	GO:0008700	RMX61458.1
A0A3M6V8Z0	A0A3M6V8Z0_POCDA	unreviewed	pdam_00003551	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3155	nucleus [GO:0005634]; helicase activity [GO:0004386]; zinc ion binding [GO:0008270]	GO:0004386; GO:0005634; GO:0008270	RMX61514.1
A0A2B4SJU9	A0A2B4SJU9_STYPI	unreviewed	rps2 AWC38_SpisGene4177	Stylophora pistillata (Smooth cauliflower coral)	40S ribosomal protein S2	760	small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin-protein transferase activity [GO:0004842]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0004842; GO:0006412; GO:0015935	PFX30964.1
A0A3M6V291	A0A3M6V291_POCDA	unreviewed	pdam_00001171	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1141	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX59919.1
A0A2B4RSQ0	A0A2B4RSQ0_STYPI	unreviewed	pol AWC38_SpisGene14905	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	848	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX20631.1
A0A3M6U6P4	A0A3M6U6P4_POCDA	unreviewed	pdam_00003947	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein	330			RMX49138.1
A0A3M6U5Y4	A0A3M6U5Y4_POCDA	unreviewed	pdam_00003939	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1497	nucleic acid binding [GO:0003676]	GO:0003676	RMX49102.1
A0A3M6UYQ2	A0A3M6UYQ2_POCDA	unreviewed	pdam_00021425	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	693	integral component of membrane [GO:0016021]	GO:0016021	RMX58664.1
A0A3M6UDB6	A0A3M6UDB6_POCDA	unreviewed	pdam_00020299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	766	integral component of membrane [GO:0016021]	GO:0016021	RMX51652.1
A0A2B4RG52	A0A2B4RG52_STYPI	unreviewed	AWC38_SpisGene20436	Stylophora pistillata (Smooth cauliflower coral)	Apple domain-containing protein	820			PFX15348.1
A0A2B4SET1	A0A2B4SET1_STYPI	unreviewed	AWC38_SpisGene8274	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	82			PFX27042.1
A0A3M6ULU4	A0A3M6ULU4_POCDA	unreviewed	pdam_00015325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	120			RMX54318.1
A0A3M6ULX2	A0A3M6ULX2_POCDA	unreviewed	pdam_00022221	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	424	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX54589.1
A0A2B4SML8	A0A2B4SML8_STYPI	unreviewed	AWC38_SpisGene4552	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	364			PFX30606.1
