Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441B97
A0A2B4S108	A0A2B4S108_STYPI	unreviewed	AWC38_SpisGene13309	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	732			PFX22192.1
A0A3M6TCE3	A0A3M6TCE3_POCDA	unreviewed	pdam_00022410	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	929	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX39066.1
A0A3M6UMQ0	A0A3M6UMQ0_POCDA	unreviewed	pdam_00015086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	349	calcium ion binding [GO:0005509]	GO:0005509	RMX54902.1
A0A2B4RAV2	A0A2B4RAV2_STYPI	unreviewed	BCAN AWC38_SpisGene21940	Stylophora pistillata (Smooth cauliflower coral)	Brevican core protein (Fragment)	1440	calcium ion binding [GO:0005509]	GO:0005509	PFX13943.1
A0A3M6V3B9	A0A3M6V3B9_POCDA	unreviewed	pdam_00017109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	810	integral component of membrane [GO:0016021]	GO:0016021	RMX60412.1
A0A3M6V383	A0A3M6V383_POCDA	unreviewed	pdam_00017110	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tetratricopeptide repeat protein 38	1250			RMX60406.1
A0A3M6V3B1	A0A3M6V3B1_POCDA	unreviewed	pdam_00017113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BZIP domain-containing protein	288	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003677; GO:0003700; GO:0005634; GO:0006357	RMX60405.1
A0A3M6V4A7	A0A3M6V4A7_POCDA	unreviewed	pdam_00017121	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	378	cholesterol 24-hydroxylase activity [GO:0033781]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; cholesterol catabolic process [GO:0006707]	GO:0005506; GO:0006707; GO:0020037; GO:0033781	RMX60418.1
A0A3M6V398	A0A3M6V398_POCDA	unreviewed	pdam_00017123	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	283			RMX60416.1
A0A2B4R6V7	A0A2B4R6V7_STYPI	unreviewed	POGK AWC38_SpisGene22556	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	535	nucleic acid binding [GO:0003676]	GO:0003676	PFX13361.1
A0A3M6U9M5	A0A3M6U9M5_POCDA	unreviewed	pdam_00017206	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	920	GTP binding [GO:0005525]	GO:0005525	RMX50249.1
A0A3M6U987	A0A3M6U987_POCDA	unreviewed	pdam_00017205	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	951	GTP binding [GO:0005525]	GO:0005525	RMX50252.1
A0A2B4S351	A0A2B4S351_STYPI	unreviewed	ABCC4 AWC38_SpisGene12477	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	2705	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22998.1
A0A3M6UAW2	A0A3M6UAW2_POCDA	unreviewed	pdam_00017161	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	654	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX50654.1
A0A2B4RTE5	A0A2B4RTE5_STYPI	unreviewed	REX4 AWC38_SpisGene14636	Stylophora pistillata (Smooth cauliflower coral)	RNA exonuclease 4	1003	3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]; rRNA processing [GO:0006364]	GO:0003676; GO:0006364; GO:0008408	PFX20881.1
A0A3M6TBB7	A0A3M6TBB7_POCDA	unreviewed	pdam_00008387	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-) (Fragment)	433	membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0016020	RMX38608.1
A0A3M6TB32	A0A3M6TB32_POCDA	unreviewed	pdam_00008385	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GDP-D-glucose phosphorylase 1 (EC 2.7.7.78)	687	cytoplasm [GO:0005737]; GDP-D-glucose phosphorylase activity [GO:0080048]; hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]; nucleotidyltransferase activity [GO:0016779]	GO:0000166; GO:0005737; GO:0016779; GO:0016787; GO:0080048	RMX38610.1
A0A2B4RT75	A0A2B4RT75_STYPI	unreviewed	AWC38_SpisGene16166	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	90			PFX19422.1
A0A2B4RT43	A0A2B4RT43_STYPI	unreviewed	COL6A5 AWC38_SpisGene16168	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-5(VI) chain	12548	collagen trimer [GO:0005581]	GO:0005581	PFX19425.1
A0A3M6TB66	A0A3M6TB66_POCDA	unreviewed	pdam_00008374	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DSBA domain-containing protein	263	oxidoreductase activity [GO:0016491]	GO:0016491	RMX38593.1
A0A3M6TB27	A0A3M6TB27_POCDA	unreviewed	pdam_00008370	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ras-GAP domain-containing protein	1698	regulation of GTPase activity [GO:0043087]; signal transduction [GO:0007165]	GO:0007165; GO:0043087	RMX38597.1
A0A2B4RW72	A0A2B4RW72_STYPI	unreviewed	AWC38_SpisGene15085	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	213			PFX20462.1
A0A3M6TB43	A0A3M6TB43_POCDA	unreviewed	pdam_00008364	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	775	integral component of membrane [GO:0016021]; galactosylceramide sulfotransferase activity [GO:0001733]; glycolipid biosynthetic process [GO:0009247]	GO:0001733; GO:0009247; GO:0016021	RMX38617.1
A0A2B4SY27	A0A2B4SY27_STYPI	unreviewed	rtcB AWC38_SpisGene1674	Stylophora pistillata (Smooth cauliflower coral)	3'-phosphate/5'-hydroxy nucleic acid ligase (EC 6.5.1.8)	865	GTP binding [GO:0005525]; metal ion binding [GO:0046872]; RNA ligase activity [GO:0008452]; tRNA processing [GO:0008033]	GO:0005525; GO:0008033; GO:0008452; GO:0046872	PFX33472.1
A0A2B4SS15	A0A2B4SS15_STYPI	unreviewed	arhgap26 AWC38_SpisGene1678	Stylophora pistillata (Smooth cauliflower coral)	Rho GTPase-activating protein 26	1021	signal transduction [GO:0007165]	GO:0007165	PFX33454.1
A0A3M6U074	A0A3M6U074_POCDA	unreviewed	pdam_00011943	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA-directed RNA polymerase I subunit D (Fragment)	404	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]	GO:0003677; GO:0003899; GO:0006351; GO:0016021; GO:0046983	RMX46959.1
A0A3M6U025	A0A3M6U025_POCDA	unreviewed	pdam_00011957	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	613	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX46941.1
A0A3M6U009	A0A3M6U009_POCDA	unreviewed	pdam_00011960	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltransf_11 domain-containing protein	251	methyltransferase activity [GO:0008168]	GO:0008168	RMX46947.1
A0A2B4S1J6	A0A2B4S1J6_STYPI	unreviewed	AWC38_SpisGene11646	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	721			PFX23781.1
A0A3M6UL69	A0A3M6UL69_POCDA	unreviewed	pdam_00023250	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	370			RMX54264.1
A0A3M6UQ96	A0A3M6UQ96_POCDA	unreviewed	pdam_00022749	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1827	integral component of membrane [GO:0016021]	GO:0016021	RMX55528.1
A0A3M6U0I7	A0A3M6U0I7_POCDA	unreviewed	pdam_00016229	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	943			RMX47136.1
A0A3M6U0H7	A0A3M6U0H7_POCDA	unreviewed	pdam_00016226	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	663	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX47163.1
A0A3M6T853	A0A3M6T853_POCDA	unreviewed	pdam_00020536	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	457	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX37531.1
A0A3M6T835	A0A3M6T835_POCDA	unreviewed	pdam_00020537	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BEN domain-containing protein	844	heterochromatin [GO:0000792]; DNA binding [GO:0003677]; rDNA heterochromatin assembly [GO:0000183]	GO:0000183; GO:0000792; GO:0003677	RMX37532.1
A0A2B4SMG9	A0A2B4SMG9_STYPI	unreviewed	POL AWC38_SpisGene5515	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	960	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0008270; GO:0015074	PFX29707.1
A0A3M6UQK6	A0A3M6UQK6_POCDA	unreviewed	pdam_00015643	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	571	integral component of membrane [GO:0016021]	GO:0016021	RMX55932.1
A0A3M6UMI7	A0A3M6UMI7_POCDA	unreviewed	pdam_00015109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	166			RMX54897.1
A0A3M6TDH0	A0A3M6TDH0_POCDA	unreviewed	pdam_00016743	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1030			RMX39284.1
A0A2B4RSH4	A0A2B4RSH4_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16373	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1603	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19205.1
A0A2B4RBU0	A0A2B4RBU0_STYPI	unreviewed	AWC38_SpisGene22041	Stylophora pistillata (Smooth cauliflower coral)	DDE Tnp4 domain-containing protein	461	metal ion binding [GO:0046872]	GO:0046872	PFX13848.1
A0A3M6UL13	A0A3M6UL13_POCDA	unreviewed	pdam_00018411	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	127			RMX54360.1
A0A2B4R648	A0A2B4R648_STYPI	unreviewed	TTC28 AWC38_SpisGene23786	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	980	integral component of membrane [GO:0016021]	GO:0016021	PFX12283.1
A0A2B4RGH1	A0A2B4RGH1_STYPI	unreviewed	SIRT2 AWC38_SpisGene20286	Stylophora pistillata (Smooth cauliflower coral)	NAD-dependent protein deacetylase sirtuin-2	586	NAD+ binding [GO:0070403]; transferase activity [GO:0016740]	GO:0016740; GO:0070403	PFX15478.1
A0A3M6UNS1	A0A3M6UNS1_POCDA	unreviewed	pdam_00023722	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA helicase (EC 3.6.4.12) (Fragment)	963	MCM complex [GO:0042555]; nucleus [GO:0005634]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; DNA replication origin binding [GO:0003688]; hydrolase activity [GO:0016787]; DNA replication initiation [GO:0006270]	GO:0003678; GO:0003688; GO:0005524; GO:0005634; GO:0006270; GO:0016787; GO:0042555; GO:0043531	RMX55275.1
A0A3M6TET4	A0A3M6TET4_POCDA	unreviewed	pdam_00018497	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	748	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX39890.1
A0A2B4RNI6	A0A2B4RNI6_STYPI	unreviewed	GLIPR2 AWC38_SpisGene17293	Stylophora pistillata (Smooth cauliflower coral)	Golgi-associated plant pathogenesis-related protein 1	242			PFX18363.1
A0A2B4RPW0	A0A2B4RPW0_STYPI	unreviewed	AWC38_SpisGene17289	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	626			PFX18348.1
A0A2B4RNI1	A0A2B4RNI1_STYPI	unreviewed	AWC38_SpisGene17288	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	369			PFX18349.1
A0A2B4RNG0	A0A2B4RNG0_STYPI	unreviewed	SORL1 AWC38_SpisGene17286	Stylophora pistillata (Smooth cauliflower coral)	Sortilin-related receptor	1988	integral component of membrane [GO:0016021]	GO:0016021	PFX18343.1
A0A2B4RQ13	A0A2B4RQ13_STYPI	unreviewed	dscc1 AWC38_SpisGene17280	Stylophora pistillata (Smooth cauliflower coral)	Sister chromatid cohesion protein DCC1	432	Ctf18 RFC-like complex [GO:0031390]; DNA replication [GO:0006260]; mitotic sister chromatid cohesion [GO:0007064]	GO:0006260; GO:0007064; GO:0031390	PFX18345.1
A0A2B4RPU8	A0A2B4RPU8_STYPI	unreviewed	AWC38_SpisGene17275	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	87	integral component of membrane [GO:0016021]	GO:0016021	PFX18357.1
A0A2B4RIZ0	A0A2B4RIZ0_STYPI	unreviewed	klhl20 AWC38_SpisGene17272	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 20	568			PFX18354.1
A0A2B4RNH7	A0A2B4RNH7_STYPI	unreviewed	nsmce1 AWC38_SpisGene17271	Stylophora pistillata (Smooth cauliflower coral)	Non-structural maintenance of chromosomes element 1 homolog (EC 2.3.2.27)	261	nucleus [GO:0005634]; Smc5-Smc6 complex [GO:0030915]; DNA repair [GO:0006281]	GO:0005634; GO:0006281; GO:0030915	PFX18353.1
A0A3M6TAU6	A0A3M6TAU6_POCDA	unreviewed	pdam_00010215	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	569			RMX38546.1
A0A2B4RVN6	A0A2B4RVN6_STYPI	unreviewed	SPAC3H1.10 AWC38_SpisGene15163	Stylophora pistillata (Smooth cauliflower coral)	Glutathione gamma-glutamylcysteinyltransferase (EC 2.3.2.15)	554	glutathione gamma-glutamylcysteinyltransferase activity [GO:0016756]; metal ion binding [GO:0046872]; phytochelatin biosynthetic process [GO:0046938]; response to metal ion [GO:0010038]	GO:0010038; GO:0016756; GO:0046872; GO:0046938	PFX20387.1
A0A2B4RVP4	A0A2B4RVP4_STYPI	unreviewed	TUBA1D AWC38_SpisGene15160	Stylophora pistillata (Smooth cauliflower coral)	Tubulin alpha-1D chain	885	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	PFX20388.1
A0A3M6TB58	A0A3M6TB58_POCDA	unreviewed	pdam_00010240	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	93			RMX38538.1
A0A3M6UPE3	A0A3M6UPE3_POCDA	unreviewed	pdam_00020559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	816			RMX55502.1
A0A3M6U5F6	A0A3M6U5F6_POCDA	unreviewed	pdam_00001497	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	328			RMX48817.1
A0A3M6U4W8	A0A3M6U4W8_POCDA	unreviewed	pdam_00001504	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Gamma-glutamylcyclotransferase family protein (Fragment)	176	gamma-glutamylaminecyclotransferase activity [GO:0061929]	GO:0061929	RMX48723.1
A0A3M6TD69	A0A3M6TD69_POCDA	unreviewed	pdam_00022904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	559			RMX39239.1
A0A2B4R4A3	A0A2B4R4A3_STYPI	unreviewed	Mrpl46 AWC38_SpisGene24569	Stylophora pistillata (Smooth cauliflower coral)	39S ribosomal protein L46, mitochondrial (Fragment)	213	mitochondrion [GO:0005739]; ribosome [GO:0005840]; hydrolase activity [GO:0016787]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005739; GO:0005840; GO:0016787	PFX11623.1
A0A3M6TXB5	A0A3M6TXB5_POCDA	unreviewed	pdam_00011050	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	249	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]	GO:0004181; GO:0008270	RMX45944.1
A0A2B4RVB0	A0A2B4RVB0_STYPI	unreviewed	PKD1 AWC38_SpisGene15082	Stylophora pistillata (Smooth cauliflower coral)	Polycystin-1	2511	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0016021	PFX20490.1
A0A3M6U291	A0A3M6U291_POCDA	unreviewed	pdam_00012341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2446	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0005509; GO:0005886; GO:0016021; GO:0020037	RMX47737.1
A0A2B4RVY4	A0A2B4RVY4_STYPI	unreviewed	PKD1 AWC38_SpisGene15081	Stylophora pistillata (Smooth cauliflower coral)	Polycystin-1	2320	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0016021	PFX20488.1
A0A3M6TDS5	A0A3M6TDS5_POCDA	unreviewed	pdam_00005985	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	987			RMX39374.1
A0A2B4RR77	A0A2B4RR77_STYPI	unreviewed	AWC38_SpisGene16289	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2071			PFX19293.1
A0A3M6TDJ1	A0A3M6TDJ1_POCDA	unreviewed	pdam_00005990	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	11695	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA-binding transcription factor activity [GO:0003700]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005085; GO:0005524; GO:0005737; GO:0043565; GO:0106310; GO:0106311	RMX39398.1
A0A3M6TDC7	A0A3M6TDC7_POCDA	unreviewed	pdam_00006000	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1281	catalytic activity [GO:0003824]	GO:0003824	RMX39382.1
A0A3M6V5S4	A0A3M6V5S4_POCDA	unreviewed	pdam_00007388	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glutathione peroxidase	157	glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979]	GO:0004602; GO:0006979	RMX61241.1
A0A3M6V5V2	A0A3M6V5V2_POCDA	unreviewed	pdam_00007394	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ephrin RBD domain-containing protein	312	integral component of membrane [GO:0016021]	GO:0016021	RMX61267.1
A0A3M6V5P3	A0A3M6V5P3_POCDA	unreviewed	pdam_00007395	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4857	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0005524; GO:0016887	RMX61266.1
A0A3M6V5X3	A0A3M6V5X3_POCDA	unreviewed	pdam_00007396	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ubiquitin-like domain-containing protein (Fragment)	347			RMX61269.1
A0A3M6V5W7	A0A3M6V5W7_POCDA	unreviewed	pdam_00007399	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin-like protein	714	microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0005874; GO:0007018; GO:0008017; GO:1990939	RMX61270.1
A0A2B4RED7	A0A2B4RED7_STYPI	unreviewed	AWC38_SpisGene21211	Stylophora pistillata (Smooth cauliflower coral)	35 kDa nucleoporin (Nucleoporin NUP35) (Nucleoporin NUP53)	581	nuclear pore [GO:0005643]; nucleic acid binding [GO:0003676]; mRNA transport [GO:0051028]	GO:0003676; GO:0005643; GO:0051028	PFX14612.1
A0A3M6V6A1	A0A3M6V6A1_POCDA	unreviewed	pdam_00007407	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1579	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	GO:0005509; GO:0007160; GO:0016021	RMX61244.1
A0A3M6UFC8	A0A3M6UFC8_POCDA	unreviewed	pdam_00014371	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	416	calcium ion binding [GO:0005509]	GO:0005509	RMX52352.1
A0A2B4R8K4	A0A2B4R8K4_STYPI	unreviewed	MARCO AWC38_SpisGene23145	Stylophora pistillata (Smooth cauliflower coral)	Macrophage receptor MARCO	628	plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411	PFX12830.1
A0A2B4S9Y0	A0A2B4S9Y0_STYPI	unreviewed	AWC38_SpisGene10002	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	525			PFX25387.1
A0A2B4T215	A0A2B4T215_STYPI	unreviewed	tdh AWC38_SpisGene300	Stylophora pistillata (Smooth cauliflower coral)	L-threonine 3-dehydrogenase	1452	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016491	PFX34707.1
A0A3M6TBG3	A0A3M6TBG3_POCDA	unreviewed	pdam_00005900	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	589	UDP-glycosyltransferase activity [GO:0008194]	GO:0008194	RMX38648.1
A0A3M6TBH1	A0A3M6TBH1_POCDA	unreviewed	pdam_00005898	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AB hydrolase-1 domain-containing protein	472	transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016747	RMX38679.1
A0A2B4SVV4	A0A2B4SVV4_STYPI	unreviewed	Slc5a7 AWC38_SpisGene287	Stylophora pistillata (Smooth cauliflower coral)	High affinity choline transporter 1	1004	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX34804.1
A0A3M6V018	A0A3M6V018_POCDA	unreviewed	pdam_00005715	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	479			RMX59276.1
A0A2B4RIC5	A0A2B4RIC5_STYPI	unreviewed	Rpl23a AWC38_SpisGene17495	Stylophora pistillata (Smooth cauliflower coral)	60S ribosomal protein L23a	457	integral component of membrane [GO:0016021]; ribosome [GO:0005840]; G protein-coupled receptor activity [GO:0004930]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0004930; GO:0005840; GO:0006412; GO:0016021; GO:0019843	PFX18144.1
A0A3M6V4U7	A0A3M6V4U7_POCDA	unreviewed	pdam_00014186	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	105			RMX60993.1
A0A3M6ULP8	A0A3M6ULP8_POCDA	unreviewed	pdam_00014090	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-tyrosine sulfotransferase (EC 2.8.2.20) (Fragment)	592	protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476	RMX54613.1
A0A3M6UBL1	A0A3M6UBL1_POCDA	unreviewed	pdam_00017237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	936	ATP binding [GO:0005524]; nucleosome-dependent ATPase activity [GO:0070615]	GO:0005524; GO:0070615	RMX50848.1
A0A3M6THC2	A0A3M6THC2_POCDA	unreviewed	pdam_00021848	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2983			RMX40776.1
A0A2B4R6Z0	A0A2B4R6Z0_STYPI	unreviewed	TTC28 AWC38_SpisGene23929	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1453			PFX12158.1
A0A3M6URX6	A0A3M6URX6_POCDA	unreviewed	pdam_00025266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein	491			RMX56395.1
A0A3M6V0I8	A0A3M6V0I8_POCDA	unreviewed	pdam_00025613	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	359	integral component of membrane [GO:0016021]	GO:0016021	RMX59410.1
A0A3M6TWE3	A0A3M6TWE3_POCDA	unreviewed	pdam_00004155	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Translocation protein SEC62	464	integral component of endoplasmic reticulum membrane [GO:0030176]; protein transport [GO:0015031]	GO:0015031; GO:0030176	RMX45733.1
A0A2B4SBE1	A0A2B4SBE1_STYPI	unreviewed	SYT14 AWC38_SpisGene9209	Stylophora pistillata (Smooth cauliflower coral)	Synaptotagmin-14	836	integral component of membrane [GO:0016021]	GO:0016021	PFX26140.1
A0A3M6TWS3	A0A3M6TWS3_POCDA	unreviewed	pdam_00004158	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2 domain-containing protein	479			RMX45738.1
A0A3M6TWN6	A0A3M6TWN6_POCDA	unreviewed	pdam_00004162	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1149	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX45772.1
A0A3M6TWK1	A0A3M6TWK1_POCDA	unreviewed	pdam_00004164	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Condensin complex subunit 1	1504	chromosome [GO:0005694]; nucleus [GO:0005634]; mitotic chromosome condensation [GO:0007076]	GO:0005634; GO:0005694; GO:0007076	RMX45777.1
